"id";"name"
2091;"1st assistant costume designer"
2009;"1st assistant lighting designer"
2085;"1st assistant scenic designer"
271;"1st assistant stage manager"
196;"1st piano - celeste and others"
188;"1st trumpet"
191;"1st violin"
2088;"2nd assistant costume designer"
556;"2nd assistant designer to mr. mielziner"
1426;"2nd assistant lighting designer"
2094;"2nd assistant scenic designer"
270;"2nd assistant stage manager"
1965;"2nd keyboard"
195;"2nd piano"
199;"2nd trumpet"
198;"2nd violin"
1634;"3rd assistiant stage manager"
193;"3rd piano"
197;"3rd trumpet"
661;"46th street theatre general manager"
647;"46th street theatre managing director"
1071;"accordian"
1332;"accordian, bass"
278;"accordion"
1826;"accordion/celeste"
701;"accordionist"
2076;"acoustic & electric bass"
968;"acoustic and electric bass"
1394;"acoustic and electric guitar"
1538;"acoustic and upright bass"
1998;"acoustic bass"
1929;"acoustic bass/electric bass"
1602;"acoustic/electric guitar"
2107;"acoustic/electric/banjo/classical guitar"
2767;"acrobatic choreographer and designer"
2773;"acrobatic performance designer"
2288;"act designer"
63;"acting manager"
2553;"action coordinator"
10;"adaptation"
61;"adaptation (english)"
2675;"adaptation (new book)"
2353;"adaptation (translation)"
2898;"adapted book"
2632;"adapter"
2400;"adaptor"
2821;"additional choreography"
2781;"additional dance and vocal arrangements"
1136;"additional dance arrangements by"
2672;"additional lyrics"
235;"additional material"
2257;"additional material (""written in collaboration"")"
2996;"additional material (additional book mat"
729;"additional material (additional book material)"
2999;"additional material (additional songs - "
854;"additional material (additional songs - 2007 broadway revival)"
1635;"additional material (additional songs)"
1024;"additional material (music)"
1617;"additional material (special verse)"
2803;"additional movement"
2892;"additional music arrangements"
2601;"additional orchestrations"
2657;"additional scenic design"
253;"advertising"
1709;"advertising & marketing"
2326;"advertising & new media services"
1668;"advertising photographer"
369;"advertising representative"
2896;"aerial and king kong movement director"
1835;"aerial design"
2077;"aerial designer"
2105;"aerial effects designer"
2412;"aerial rigging designer"
1950;"aerial staging"
2464;"aerial stunt coordinator"
2703;"air sculptor"
177;"alfred goodman's musical ensemble"
2590;"alto sackbut, tenor sackbut, tenor recorder"
1459;"alto sax, clarinet, bass clarinet"
2383;"alto saxophone"
2591;"alto shawm, shawm, dulcian, curtal, alto rauschpfeife, recorder, pipe and tabor,"
2289;"animal sculpture designer"
1897;"animal trainer"
2545;"animal trainers"
2043;"animals trainer"
1091;"animation"
1744;"animation designer"
2195;"animations designer"
2411;"ariel choreographer"
2381;"ariel designer"
2791;"arrangements and orchestrations"
2845;"arranger"
2010;"arranger (additional arrangements)"
2131;"arranger (googie's musical number)"
124;"art director"
1213;"artistic consultant"
287;"artistic director"
1685;"artistic producer"
1982;"artwork"
1480;"artwork designer"
1167;"asl head"
1782;"asl master"
267;"assistant"
1691;"assistant (to david rockwell)"
1860;"assistant (to mr. albee)"
1526;"assistant (to mr. kaczorowski)"
520;"assistant (to mr. kazan)"
1871;"assistant (to stuart thompson)"
1689;"assistant (to william ivey-long)"
2082;"assistant aerial designer"
165;"assistant choreographer"
1415;"assistant choreographer (for mr. marshall)"
1414;"assistant choreographer (for mr. paterson)"
2362;"assistant choreographer (musical staging)"
1767;"assistant clothing stylist"
305;"assistant company manager"
2028;"assistant composer"
378;"assistant conductor"
2026;"assistant costume design"
329;"assistant costume designer"
2208;"assistant costume designer (us)"
1905;"assistant dance and fight captain"
766;"assistant dance captain"
454;"assistant dance director"
519;"assistant designer (to jo mielziner)"
1916;"assistant designer (uk)"
73;"assistant director"
2162;"assistant director (""a bus stop play"")"
1779;"assistant director (""baby food"")"
1882;"assistant director (""claire's intervention"")"
2163;"assistant director (""dave chappelle is not crazy"")"
2168;"assistant director (""i.p"")"
2053;"assistant director (""jack on film"")"
2169;"assistant director (""open house"")"
1881;"assistant director (""pressure is a privelege"")"
1733;"assistant director (""sleep deprived"")"
1887;"assistant director (""that other person"")"
2050;"assistant director (""the blizzard"")"
2048;"assistant director (""the first tree in antarctica"")"
2049;"assistant director (""the sunday times"")"
1886;"assistant director (""this is now"")"
2051;"assistant director (""three girls and bob"")"
2047;"assistant director (""toccata and fugue"")"
2161;"assistant director (""wakey wakey"")"
2172;"assistant director (tenure)"
1550;"assistant fight captain"
2583;"assistant fight director"
364;"assistant general manager"
1172;"assistant hair and wig designer"
2234;"assistant hair designer"
2948;"assistant lighting design"
302;"assistant lighting designer"
2435;"assistant lighting designer (us)"
2355;"assistant make-up designer"
1005;"assistant manager"
114;"assistant musical director"
176;"assistant press representative"
842;"assistant producer"
241;"assistant production manager"
1589;"assistant projection designer"
2062;"assistant projections coordinator"
2023;"assistant scenic design"
348;"assistant scenic designer"
1993;"assistant scenic designer (uk)"
2299;"assistant set designer"
838;"assistant sound designer"
1909;"assistant special effects"
2006;"assistant special effects designer"
55;"assistant stage manager"
2215;"assistant stage manager (replacement)"
2192;"assistant stage manager (vacation substitute)"
2095;"assistant technical supervisor"
596;"assistant to abe burrows"
750;"assistant to alan schneider"
172;"assistant to aline bernstein"
585;"assistant to ann roth"
563;"assistant to ben edwards"
607;"assistant to boris aronson"
336;"assistant to captain kanin"
256;"assistant to carl randall"
439;"assistant to cecil beaton"
954;"assistant to choreographer/dance captain"
992;"assistant to costume designer"
387;"assistant to david ffolkes"
678;"assistant to david hays"
1264;"assistant to director"
486;"assistant to don walker"
926;"assistant to donald brooks"
338;"assistant to donald oenslager"
488;"assistant to donald saddler"
250;"assistant to dwight deere wiman"
461;"assistant to edith lutyens"
510;"assistant to eldon elder"
572;"assistant to ernest adler"
1813;"assistant to farah khan"
1901;"assistant to fight director"
915;"assistant to franne and eugene lee"
684;"assistant to fred voelpel"
502;"assistant to frederick fox"
483;"assistant to general manager"
726;"assistant to general managers"
327;"assistant to george jenkins"
1267;"assistant to gillian lynne"
1391;"assistant to hair designer"
650;"assistant to hal hastings"
240;"assistant to hassard short"
356;"assistant to helen tamiris"
311;"assistant to howard bay"
795;"assistant to howard jeffrey"
264;"assistant to hugh martin"
449;"assistant to irene sharaff"
571;"assistant to jack cole"
321;"assistant to jack donohue"
705;"assistant to jane greenwood"
659;"assistant to jean rosenthal"
257;"assistant to jo mielziner"
675;"assistant to john butler"
255;"assistant to john hambleton"
219;"assistant to john murray anderson"
1157;"assistant to joseph harris"
1834;"assistant to kenneth posner"
2281;"assistant to lead producer"
487;"assistant to lehman engel"
1390;"assistant to lighting designer"
325;"assistant to lucinda ballard"
1815;"assistant to mark & barri"
874;"assistant to martin aronstein"
937;"assistant to messrs. brown & holt"
1064;"assistant to messrs. harris / bernstein"
961;"assistant to messrs. king and yeargan"
1674;"assistant to michael reed"
318;"assistant to miles white"
774;"assistant to ming cho lee"
656;"assistant to miss aldredge"
345;"assistant to miss ballard"
353;"assistant to miss bettis"
1205;"assistant to miss curtis"
568;"assistant to miss dalrymple"
1139;"assistant to miss daniele"
360;"assistant to miss de mille"
898;"assistant to miss dearing"
398;"assistant to miss demille"
882;"assistant to miss eck"
749;"assistant to miss greenwood"
589;"assistant to miss haney"
416;"assistant to miss holm"
408;"assistant to miss hunter"
733;"assistant to miss klotz"
435;"assistant to miss krupska"
269;"assistant to miss lee"
414;"assistant to miss lutyens"
531;"assistant to miss morley"
742;"assistant to miss musser"
878;"assistant to miss parker"
959;"assistant to miss parks"
437;"assistant to miss personnette"
716;"assistant to miss potts"
914;"assistant to miss rich"
851;"assistant to miss robbins"
576;"assistant to miss rosenthal"
686;"assistant to miss roth"
258;"assistant to miss sharaff"
407;"assistant to miss tamaris"
1182;"assistant to miss tharp"
966;"assistant to miss tipton"
309;"assistant to miss webster"
597;"assistant to miss white"
633;"assistant to miss zipprodt"
730;"assistant to miss. rosenthal"
964;"assistant to mitch leigh"
434;"assistant to motley"
1678;"assistant to mr hwang"
456;"assistant to mr mackintosh"
883;"assistant to mr. aaron"
673;"assistant to mr. abbott"
744;"assistant to mr. adler"
788;"assistant to mr. aghayan"
821;"assistant to mr. aghyan & mr. mackie"
687;"assistant to mr. allen"
557;"assistant to mr. allers"
911;"assistant to mr. allison"
503;"assistant to mr. alswang"
283;"assistant to mr. alton"
280;"assistant to mr. anderson"
1129;"assistant to mr. annals"
609;"assistant to mr. armstrong"
1428;"assistant to mr. arnone"
370;"assistant to mr. aronson"
754;"assistant to mr. aronstein"
1667;"assistant to mr. aukin"
970;"assistant to mr. aulisi"
432;"assistant to mr. ayers"
382;"assistant to mr. ayers (costumes)"
383;"assistant to mr. ayers (scenery)"
249;"assistant to mr. balanchine"
275;"assistant to mr. balancine"
815;"assistant to mr. barcelo"
349;"assistant to mr. barclift"
1683;"assistant to mr. barnes"
394;"assistant to mr. barr"
603;"assistant to mr. barstow"
299;"assistant to mr. bay"
626;"assistant to mr. beaton"
646;"assistant to mr. beaton (costumes)"
648;"assistant to mr. beaton (scenery)"
1007;"assistant to mr. beatty"
627;"assistant to mr. beaumont"
446;"assistant to mr. becher"
813;"assistant to mr. bennett"
1658;"assistant to mr. berlind"
876;"assistant to mr. billington"
492;"assistant to mr. blackton"
1128;"assistant to mr. blakemore"
910;"assistant to mr. bloomgarden"
1272;"assistant to mr. borge"
221;"assistant to mr. bragdon"
1801;"assistant to mr. brill"
685;"assistant to mr. brooks"
1274;"assistant to mr. brown"
877;"assistant to mr. burbridge"
704;"assistant to mr. burlingame"
436;"assistant to mr. burrows"
239;"assistant to mr. calduel"
533;"assistant to mr. calhern"
908;"assistant to mr. camillo"
671;"assistant to mr. campbell"
896;"assistant to mr. cantor"
590;"assistant to mr. castillo"
638;"assistant to mr. champion"
308;"assistant to mr. chaney"
920;"assistant to mr. chapman"
526;"assistant to mr. charmoli"
236;"assistant to mr. clurman"
895;"assistant to mr. coe"
608;"assistant to mr. coffin"
1058;"assistant to mr. cohen"
298;"assistant to mr. cole"
350;"assistant to mr. colt"
875;"assistant to mr. conklin"
1146;"assistant to mr. conn"
881;"assistant to mr. coronato"
630;"assistant to mr. da costa"
625;"assistant to mr. dacosta"
869;"assistant to mr. dale"
534;"assistant to mr. daniels"
417;"assistant to mr. davenport"
1057;"assistant to mr. davidson"
1419;"assistant to mr. davies"
479;"assistant to mr. davis"
351;"assistant to mr. davison"
1010;"assistant to mr. de liagre"
481;"assistant to mr. dell'isola"
1246;"assistant to mr. dexter"
582;"assistant to mr. donehue"
530;"assistant to mr. dowling"
279;"assistant to mr. du bois"
578;"assistant to mr. du bois (costumes)"
579;"assistant to mr. du bois (scenery)"
798;"assistant to mr. dunham"
641;"assistant to mr. duquette"
548;"assistant to mr. edwards"
507;"assistant to mr. edwards (costumes)"
506;"assistant to mr. edwards (scenery)"
1113;"assistant to mr. eigsti"
529;"assistant to mr. elder"
555;"assistant to mr. engel"
225;"assistant to mr. erik charell"
463;"assistant to mr. evans"
1163;"assistant to mr. fallabella"
644;"assistant to mr. feder"
438;"assistant to mr. ferrer"
362;"assistant to mr. ffolkes"
820;"assistant to mr. field"
588;"assistant to mr. fields"
528;"assistant to mr. finklehoffe"
800;"assistant to mr. fisher"
1295;"assistant to mr. fitzgerald & mr. fox"
707;"assistant to mr. fletcher"
352;"assistant to mr. florrell"
513;"assistant to mr. fosse"
395;"assistant to mr. fox"
810;"assistant to mr. freedman"
444;"assistant to mr. friedman"
462;"assistant to mr. gabel"
1293;"assistant to mr. gallo"
460;"assistant to mr. gerard"
475;"assistant to mr. gilkey"
753;"assistant to mr. gleason"
476;"assistant to mr. grace"
672;"assistant to mr. gregory"
226;"assistant to mr. gribble"
1275;"assistant to mr. gromada"
331;"assistant to mr. haakon"
1032;"assistant to mr. haines"
1041;"assistant to mr. hamlisch & associate conductor"
431;"assistant to mr. hammerstein"
504;"assistant to mr. hammond"
375;"assistant to mr. harris"
642;"assistant to mr. hartley"
734;"assistant to mr. hastings"
740;"assistant to mr. hays"
1038;"assistant to mr. hemsley"
924;"assistant to mr. henning"
465;"assistant to mr. herbert"
282;"assistant to mr. horner"
546;"assistant to mr. houghton"
524;"assistant to mr. hoyt"
1036;"assistant to mr. iscove"
1100;"assistant to mr. jackness"
861;"assistant to mr. jacob"
1270;"assistant to mr. jacobs"
873;"assistant to mr. jampolis"
330;"assistant to mr. jenkins"
1204;"assistant to mr. johns"
344;"assistant to mr. kanin"
284;"assistant to mr. kaufman"
692;"assistant to mr. kay"
587;"assistant to mr. kelly"
554;"assistant to mr. kidd"
802;"assistant to mr. kidd/dance captain"
987;"assistant to mr. kingwill"
272;"assistant to mr. koenig"
1852;"assistant to mr. krass"
1529;"assistant to mr. laing"
532;"assistant to mr. larkin"
919;"assistant to mr. laurents"
1429;"assistant to mr. lawrence"
649;"assistant to mr. layton"
677;"assistant to mr. lebowsky"
756;"assistant to mr. lee"
1180;"assistant to mr. leigh"
242;"assistant to mr. leonidoff"
558;"assistant to mr. lerner"
696;"assistant to mr. lesser"
1184;"assistant to mr. levan"
570;"assistant to mr. lewis"
723;"assistant to mr. liff"
297;"assistant to mr. livingston"
441;"assistant to mr. lloyd"
251;"assistant to mr. logan"
1056;"assistant to mr. london"
1118;"assistant to mr. long"
844;"assistant to mr. loquasto"
930;"assistant to mr. louis"
1911;"assistant to mr. lucas"
971;"assistant to mr. lundell"
1049;"assistant to mr. lynch"
1827;"assistant to mr. macdevitt"
1438;"assistant to mr. mackie"
1130;"assistant to mr. maltby"
399;"assistant to mr. mamoulian on casting"
1802;"assistant to mr. mantello"
469;"assistant to mr. marre"
474;"assistant to mr. martin"
1055;"assistant to mr. mason"
1183;"assistant to mr. mauceri"
372;"assistant to mr. mcclintic"
1746;"assistant to mr. mckinley"
491;"assistant to mr. melziner"
415;"assistant to mr. menotti"
569;"assistant to mr. merrick"
425;"assistant to mr. messel"
1433;"assistant to mr. meyer"
237;"assistant to mr. mielziner"
1115;"assistant to mr. miller"
238;"assistant to mr. miner"
906;"assistant to mr. mitchell"
993;"assistant to mr. morgan"
419;"assistant to mr. morrison"
907;"assistant to mr. mosse"
897;"assistant to mr. mulhern"
1080;"assistant to mr. munderloh"
780;"assistant to mr. musser"
1102;"assistant to mr. napier"
1028;"assistant to mr. nederlander"
