"id";"date_instantiated";"street_address";"address_locality";"address_region";"postal_code";"year_closed";"year_demolished";"capacity";"name"
5000;"2020-10-14 04:36:30";"216 W. 44th St.";"New York";"NY";"";0;1945;1463;"44th Street Theatre"
5003;"2020-10-14 04:36:30";"152 W. 54th St.";"New York";"NY";"";0;1970;1400;"George Abbott Theatre"
5006;"2020-10-14 04:36:30";"409-412 Strand";"London";"";"WC2R ONS";0;0;1476;"Adelphi Theatre"
5007;"2020-10-14 04:36:30";"302 W. 45th St.";"New York";"NY";"";0;0;1424;"Al Hirschfeld Theatre"
5013;"2020-10-14 04:36:30";"229 W. 42nd St.";"New York";"NY";"";0;0;740;"American Airlines Theatre"
5016;"2020-10-14 04:36:30";"235 W. 44th St.";"New York";"NY";"";0;0;1186;"Broadhurst Theatre"
5017;"2020-10-14 04:36:30";"1681 Broadway";"New York";"NY";"";0;0;1761;"Broadway Theatre (Broadway)"
5018;"2020-10-14 04:36:30";"256 W. 47th St.";"New York";"NY";"";0;0;1094;"Brooks Atkinson Theatre"
5022;"2020-10-14 04:36:30";"753 7th Avenue (SE corner of 7th and 50th)";"New York";"NY";"";1939;1990;3000;"Casa Manana"
5024;"2020-10-14 04:36:30";"6th Avenue and 49th St.";"New York";"NY";"";0;1960;3700;"Center Theatre"
5025;"2020-10-14 04:36:30";"131 West 55th St. (between 6th and 7th Avenues)";"New York";"NY";"";0;0;2935;"New York City Center"
5026;"2020-10-14 04:36:30";"(Leicester Square) Panton Street off Haymarket";"London";"";"";0;0;796;"Comedy Theatre"
5028;"2020-10-14 04:36:30";"138 West 48th St.";"New York";"NY";"";0;0;1084;"Cort Theatre (Broadway)"
5031;"2020-10-14 04:36:30";"243 West 47th St.";"New York";"NY";"";0;0;1096;"Ethel Barrymore Theatre"
5032;"2020-10-14 04:36:30";"230 West 49th St.";"New York";"NY";"";0;0;1066;"Eugene O'Neill Theatre"
5035;"2020-10-14 04:36:30";"222 West 51st St.";"New York";"NY";"";0;0;1933;"Gershwin Theatre"
5039;"2020-10-14 04:36:30";"124 West 43rd St.";"New York";"NY";"";0;2004;950;"Henry Miller's Theatre"
5042;"2020-10-14 04:36:30";"249 West 45th St.";"New York";"NY";"";0;0;1443;"Imperial Theatre (Broadway)"
5043;"2020-10-14 04:36:30";"252 West 45th St.";"New York";"NY";"";0;0;805;"John Golden Theatre"
5047;"2020-10-14 04:36:30";"205 West 46th St.";"New York";"NY";"";0;0;1519;"Lunt-Fontanne Theatre"
5049;"2020-10-14 04:36:30";"(Piccadilly Circus) Shaftesbury Avenue";"London";"";"";0;0;948;"Lyric Theatre"
5052;"2020-10-14 04:36:30";"245 West 44th St.";"New York";"NY";"";0;0;1645;"Majestic Theatre (Broadway)"
5053;"2020-10-14 04:36:30";"237 West 51st St.";"New York";"NY";"";0;0;1600;"Mark Hellinger Theatre"
5056;"2020-10-14 04:36:30";"150 West 65th St. at Broadway";"New York";"NY";"";0;0;299;"Mitzi E. Newhouse Theatre"
5057;"2020-10-14 04:36:30";"239 West 45th St.";"New York";"NY";"";0;0;1009;"Music Box Theatre"
5060;"2020-10-14 04:36:30";"1564 Broadway";"New York";"NY";"";0;0;1743;"Palace Theatre (Broadway)"
5072;"2020-10-14 04:36:30";"(Charing Cross) Strand Ð Beaufort Buildings";"London";"";"";0;0;1100;"Savoy Theatre"
5075;"2020-10-14 04:36:30";"225 West 44th St.";"New York";"NY";"";0;0;1460;"Shubert Theatre (Broadway)"
5077;"2020-10-14 04:36:30";"246 West 44th St.";"New York";"NY";"";0;0;1709;"St. James Theatre (Broadway)"
5085;"2020-10-14 04:36:30";"219 W. 42nd St.";"New York";"NY";"";0;0;1057;"Times Square Theatre"
