id,title,opening_date,closing_date,previews_date,year,theatre_id,theatre_name,production_type,show_type,show_type_simple,intermissions,n_performances,run_time,show_never_opened,revival,pre_broadway,limited_run,repertory,other_titles,official_website,production_type_simple
2,Medea,1858-12-04 00:00:00,1858-12-04 00:00:00,NULL,1858,5649,Bowery Theatre,Original Production,NULL,NULL,1,1,NULL,0,0,0,0,0,NULL,NULL,Original
3,Rob Roy,1859-06-09 00:00:00,1859-06-21 00:00:00,NULL,1859,7414,Niblo's Garden,Original Production,Opera,Opera,1,14,NULL,0,0,0,0,0,NULL,NULL,Original
4,Hop O' My Thumb,1862-04-07 00:00:00,1862-05-02 00:00:00,NULL,1862,5717,Barnum's New Museum,Original Production,Play with Music,Play,1,46,NULL,0,0,0,0,0,"Hop O' My Thumb, or, the Ogre and the Dwarf! (full title)",NULL,Original
5,The House that Jack Built,1864-01-25 00:00:00,1864-05-21 00:00:00,NULL,1864,5685,Old Bowery Theatre1/25/1864 - 5/21/1864,Original Production,Pantomime,Musical,1,48,NULL,0,0,0,0,0,NULL,NULL,Original
8,Lischen et Fritzchen,1868-06-25 00:00:00,1868-12-05 00:00:00,NULL,1868,7547,Pike's Opera House,Original Production,Musical,Musical,1,8,NULL,0,0,0,0,0,NULL,NULL,Original
9,Nicodemus,NULL,NULL,NULL,1869,0,NULL,NULL,Burlesque,Burlesque,1,NULL,NULL,1,0,0,0,0,NULL,NULL,NULL
11,The Grand Duchess of Gérolstein,1869-04-06 00:00:00,1869-05-04 00:00:00,NULL,1869,5359,Fifth Avenue Theatre,Revival,Opera,Opera,1,5,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
15,Barbe-Bleue,1870-12-24 00:00:00,NULL,NULL,1870,5720,Grand Opera House,Revival,Opera Bouffe,Musical,1,NULL,NULL,0,1,0,1,0,NULL,NULL,Revival
16,The Forty Thieves,1870-05-23 00:00:00,NULL,NULL,1870,7414,Niblo's Garden,Revival,NULL,NULL,1,12,NULL,0,1,0,0,0,NULL,NULL,Revival
17,The Grand Duchess of Gérolstein,1870-01-24 00:00:00,NULL,NULL,1870,5703,NULL,Revival,Opera,Opera,1,13,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
18,Lischen et Fritzchen,1870-03-14 00:00:00,NULL,NULL,1870,5714,NULL,Revival,Musical,Musical,1,12,NULL,0,1,0,0,0,NULL,NULL,Revival
20,Barbe-Bleue,1871-12-19 00:00:00,NULL,NULL,1871,5714,NULL,Revival,Opera Bouffe,Musical,1,12,NULL,0,1,0,0,0,NULL,NULL,Revival
22,Barbe-Bleue,1872-11-05 00:00:00,NULL,NULL,1872,5637,Olympic Theatre,Revival,Opera Bouffe,Musical,1,5,NULL,0,1,0,0,0,NULL,NULL,Revival
23,The Grand Duchess of Gérolstein,1872-10-18 00:00:00,NULL,NULL,1872,5637,Olympic Theatre,Revival,Opera,Opera,1,4,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
26,The Grand Duchess of Gérolstein,1873-09-15 00:00:00,NULL,NULL,1873,0,NULL,Revival,Opera,Opera,1,NULL,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
27,Jack and Jill,1874-12-21 00:00:00,NULL,NULL,1874,7414,Niblo's Garden,NULL,Pantomime,Musical,1,17,NULL,0,0,0,0,0,NULL,NULL,NULL
29,Lischen et Fritzchen,NULL,NULL,NULL,1875,0,NULL,Revival,Musical,Musical,1,NULL,NULL,1,1,0,0,0,NULL,NULL,Revival
30,The Grand Duchess of Gérolstein,1876-09-27 00:00:00,NULL,NULL,1876,5194,Lyceum Theatre,Revival,Opera,Opera,1,1,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
31,Babes in the Wood,1877-12-24 00:00:00,NULL,NULL,1877,5317,NULL,Original Production,Pantomime,Musical,1,41,NULL,0,0,0,0,0,"Babes in the Wood, or, Who Killed Cock Robin? (full title)",NULL,Original
32,Barbe-Bleue,NULL,NULL,NULL,1877,0,NULL,Revival,Opera Bouffe,Musical,1,NULL,NULL,1,1,0,0,0,NULL,NULL,Revival
35,The Chimes of Normandy,1877-10-22 00:00:00,NULL,NULL,1877,7519,Fifth Avenue Theatre,Original Production,Musical,Musical,1,16,NULL,0,0,0,0,0,NULL,NULL,Original
37,The Grand Duchess of Gérolstein,1877-01-01 00:00:00,NULL,NULL,1877,0,NULL,Revival,Opera,Opera,1,NULL,NULL,0,1,0,0,0,The Grand Duchess (alternate title),NULL,Revival
43,Babes in the Woods,1878-12-23 00:00:00,NULL,NULL,1878,5269,New Park Theatre,Original Production,Pantomime,Musical,1,19,NULL,0,0,0,0,0,"Babes in the Wood, or, Who Killed Cock Robin? (full title)",NULL,Original
45,Barbe-Bleue,1879-10-13 00:00:00,1879-11-05 00:00:00,NULL,1879,5359,Fifth Avenue Theatre,Revival,Opera Bouffe,Musical,2,7,NULL,0,1,0,1,1,NULL,NULL,Revival
48,H.M.S. Pinafore,1879-01-15 00:00:00,NULL,NULL,1879,7467,Standard Theatre,Original Production,Musical,Musical,1,175,NULL,0,0,0,0,0,"H.M.S. Pinafore, or, the Lass That Loved a Sailor",NULL,Original
49,H.M.S. Pinafore,1879-03-10 00:00:00,NULL,NULL,1879,7560,Broadway Theatre,Revival,Musical,Musical,1,71,NULL,0,1,0,0,0,"H.M.S. Pinafore, or, the Lass That Loved a Sailor",NULL,Revival
54,Babes in the Wood,1880-12-27 00:00:00,NULL,NULL,1880,7090,Haverly's 14th Street Theatre,Revival,Pantomime,Musical,1,8,NULL,0,1,0,0,0,"Babes in the Wood, or, Who Killed Cock Robin? (full title)",NULL,Revival
55,Babiole,1880-10-21 00:00:00,NULL,NULL,1880,7467,Standard Theatre,Original Production,Musical,Musical,1,4,NULL,0,0,0,1,1,NULL,NULL,Original
116,Patience,1881-09-22 00:00:00,NULL,NULL,1881,7467,Standard Theatre,Original Production,Operetta,Musical,1,177,NULL,0,0,0,0,0,"Patience, or, Bunthorne's Bride (full title)",NULL,Original
128,Apajune,NULL,NULL,NULL,1882,0,NULL,Original Production,Musical,Musical,1,NULL,NULL,1,0,0,0,0,"Apajune, the Water Sprite (full title)",NULL,Original
131,All at Sea,NULL,NULL,NULL,1882,0,NULL,Original Production,Musical,Musical,1,NULL,NULL,1,0,0,0,0,NULL,NULL,Original
190,The Queen's Lace Handkerchief,1882-10-21 00:00:00,NULL,NULL,1882,7167,Casino Theatre,NULL,Operetta,Musical,1,571,NULL,0,0,0,0,0,Das Spitzentuch der Königin (German title),NULL,NULL
227,La Jolie Parfumeuse,1883-10-26 00:00:00,NULL,NULL,1883,7467,Standard Theatre,Revival,Musical,Musical,1,1,NULL,0,1,0,0,0,NULL,NULL,Revival
