id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
5000,216 W. 44th St.,New York,NY,NULL,NULL,1945,1463,44th Street Theatre
5003,152 W. 54th St.,New York,NY,NULL,NULL,1970,1400,George Abbott Theatre
5006,409-412 Strand,London,NULL,WC2R ONS,NULL,NULL,1476,Adelphi Theatre
5007,302 W. 45th St.,New York,NY,NULL,NULL,NULL,1424,Al Hirschfeld Theatre
5013,229 W. 42nd St.,New York,NY,NULL,NULL,NULL,740,American Airlines Theatre
5016,235 W. 44th St.,New York,NY,NULL,NULL,NULL,1186,Broadhurst Theatre
5017,1681 Broadway,New York,NY,NULL,NULL,NULL,1761,Broadway Theatre (Broadway)
5018,256 W. 47th St.,New York,NY,NULL,NULL,NULL,1094,Brooks Atkinson Theatre
5022,753 7th Avenue (SE corner of 7th and 50th),New York,NY,NULL,1939,1990,3000,Casa Manana
5024,6th Avenue and 49th St.,New York,NY,NULL,NULL,1960,3700,Center Theatre
5025,131 West 55th St. (between 6th and 7th Avenues),New York,NY,NULL,NULL,NULL,2935,New York City Center
5026,(Leicester Square) Panton Street off Haymarket,London,NULL,NULL,NULL,NULL,796,Comedy Theatre
5028,138 West 48th St.,New York,NY,NULL,NULL,NULL,1084,Cort Theatre (Broadway)
5031,243 West 47th St.,New York,NY,NULL,NULL,NULL,1096,Ethel Barrymore Theatre
5032,230 West 49th St.,New York,NY,NULL,NULL,NULL,1066,Eugene O'Neill Theatre
5035,222 West 51st St.,New York,NY,NULL,NULL,NULL,1933,Gershwin Theatre
5039,124 West 43rd St.,New York,NY,NULL,NULL,2004,950,Henry Miller's Theatre
5042,249 West 45th St.,New York,NY,NULL,NULL,NULL,1443,Imperial Theatre (Broadway)
5043,252 West 45th St.,New York,NY,NULL,NULL,NULL,805,John Golden Theatre
5047,205 West 46th St.,New York,NY,NULL,NULL,NULL,1519,Lunt-Fontanne Theatre
5049,(Piccadilly Circus) Shaftesbury Avenue,London,NULL,NULL,NULL,NULL,948,Lyric Theatre
5052,245 West 44th St.,New York,NY,NULL,NULL,NULL,1645,Majestic Theatre (Broadway)
5053,237 West 51st St.,New York,NY,NULL,NULL,NULL,1600,Mark Hellinger Theatre
5056,150 West 65th St. at Broadway,New York,NY,NULL,NULL,NULL,299,Mitzi E. Newhouse Theatre
5057,239 West 45th St.,New York,NY,NULL,NULL,NULL,1009,Music Box Theatre
5060,1564 Broadway,New York,NY,NULL,NULL,NULL,1743,Palace Theatre (Broadway)
5072,(Charing Cross) Strand Ð Beaufort Buildings,London,NULL,NULL,NULL,NULL,1100,Savoy Theatre
5075,225 West 44th St.,New York,NY,NULL,NULL,NULL,1460,Shubert Theatre (Broadway)
5077,246 West 44th St.,New York,NY,NULL,NULL,NULL,1709,St. James Theatre (Broadway)
5085,219 W. 42nd St.,New York,NY,NULL,NULL,NULL,1057,Times Square Theatre
5086,148 West 48th St.,New York,NY,NULL,NULL,1954,780,Vanderbilt Theatre
5090,Drury Lane,London,NULL,NULL,NULL,1965,1581,Winter Garden Theatre
5124,1114 Walnut Street,Philadelphia,PA,NULL,NULL,NULL,NULL,Forrest Theatre
5125,366 N. La Cienega Blvd.,Los Angeles,NULL,NULL,NULL,NULL,NULL,Coronet Theatre
5127,Central Park West at 62nd St.,New York,NY,NULL,NULL,1930,NULL,Casino de Paris
5132,254 West 54th St.,New York,NY,NULL,NULL,NULL,1006,Studio 54
5135,Newcastle Street,London,NULL,NULL,NULL,1902,1800,Globe Theatre
5139,West side of Broadway between 32nd & 33rd,New York,NY,NULL,NULL,1909,1126,Manhattan Theatre
5165,5620 S. Harlem Ave.,Chicago,IL,NULL,NULL,NULL,NULL,Forum Theatre
5169,214 West 42nd St.,New York,NY,NULL,NULL,NULL,1747,New Amsterdam Theatre
5187,N 21st St. & Market St.,Philadelphia,PA,NULL,NULL,NULL,NULL,Erlanger Theatre
5194,"(Covent Garden/Charing Cross) Wellington Street, just off Strand",London,NULL,NULL,NULL,NULL,2075,Lyceum Theatre
5199,261-5 West 47th St.,New York,NY,NULL,NULL,NULL,948,Biltmore Theatre
5205,111 West 44th St.,New York,NY,NULL,NULL,NULL,1018,Belasco Theatre
5211,220 West 48th Street,New York,NY,NULL,NULL,NULL,1091,Longacre Theatre
5223,932 Seventh Avenue,New York,NY,NULL,NULL,1962,1700,New Century Theatre
5230,1633 Broadway at 50th St.,New York,NY,NULL,NULL,NULL,840,Circle in the Square (Broadway)
5235,"John Adam Street, Adelphi",London,NULL,NULL,NULL,1949,309,Little Theatre
5236,240 West 44th St.,New York,NY,NULL,NULL,NULL,597,Hayes Theatre
5250,234 West 42nd St.,New York,NY,NULL,NULL,NULL,1054,Liberty Theatre
5259,1321 Pennsylvania Ave. NW,Washington,DC,20004,NULL,NULL,NULL,National Theatre
5266,1482 Broadway at 43rd St.,New York,NY,NULL,NULL,1938,1100,George M. Cohan's Theatre
5269,932 Broadway (21st St.),New York,NY,NULL,NULL,1882,NULL,New Park Theatre
5271,1530 Broadway at 45th St.,New York,NY,NULL,NULL,NULL,526,Criterion Center Stage Right
5290,22 Brookside Drive,Milburn,NJ,7041,NULL,NULL,1200,Paper Mill Playhouse
5292,"2700 F Street, NW",Washington,DC,20566,NULL,NULL,NULL,Kennedy Center [Eisenhower Theatre]
5300,1396 Broadway and 39th St.,New York,NY,NULL,NULL,1930,1500,Knickerbocker Theatre
5301,137 W. 48th St.,New York,NY,NULL,NULL,1969,900,Playhouse Theatre
5307,38 Commerce St. (Bedford & Hudson Street),New York,NY,NULL,NULL,NULL,178,Cherry Lane Theatre
5310,"PO Box A, 6 Main Street",East Haddam,CT,6423,NULL,NULL,398,Goodspeed Opera House
5313,La Jolla Village Drive & Torrey Pines Road,"La Jolla, CA",NULL,NULL,NULL,NULL,NULL,La Jolla Playhouse
5317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eagle Theatre
5320,South side of 24th Street West of Broadway (between 5th & Madison),New York,NY,NULL,NULL,1908,688,Madison Square Theatre
5329,1514-16 Broadway (44th St.) - Roof,New York,NY,NULL,NULL,1935,NULL,Jardin de Paris
5331,1514-16 Broadway (44th St.),New York,NY,NULL,NULL,1935,NULL,New York Theatre
5334,222 West 45th St.,New York,NY,NULL,NULL,NULL,766,Booth Theatre (Broadway)
5339,E. 14th St. and Irving Place,New York,NY,NULL,NULL,1926,1279,Academy of Music
5346,"Cranbourn Street, Leicester Square",London,NULL,NULL,NULL,NULL,600,Daly's Theatre
5355,29 Shaftesbury Avenue,London,NULL,NULL,NULL,NULL,775,Apollo Theatre
5359,13-08 5th Avenue,"Seattle, WA",NULL,NULL,NULL,NULL,2115,Fifth Avenue Theatre
5369,7th Ave. S. near Christopher,New York,NY,NULL,NULL,NULL,NULL,Greenwich Village Theatre
