year,season,season_link,winner,actor,musical,character,actor_link,musical_link,character_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Paul Hartman,Angel in the Wings,Various Characters,https://en.wikipedia.org/wiki/Paul_Hartman,https://en.wikipedia.org/wiki/Angel_in_the_Wings,
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Ray Bolger,Where's Charley?,Charley Wykeham,https://en.wikipedia.org/wiki/Ray_Bolger,https://en.wikipedia.org/wiki/Where%27s_Charley%3F,
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Ezio Pinza,South Pacific,Emile De Beque,https://en.wikipedia.org/wiki/Ezio_Pinza,https://en.wikipedia.org/wiki/South_Pacific_(musical),
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Robert Alda,Guys and Dolls,Sky Masterson,https://en.wikipedia.org/wiki/Robert_Alda,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Phil Silvers,Top Banana,Jerry Biffle,https://en.wikipedia.org/wiki/Phil_Silvers,https://en.wikipedia.org/wiki/Top_Banana_(musical),
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Thomas Mitchell,Hazel Flagg,Dr. Downer,https://en.wikipedia.org/wiki/Thomas_Mitchell_(actor),https://en.wikipedia.org/wiki/Hazel_Flagg,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Alfred Drake,Kismet,Hajj,https://en.wikipedia.org/wiki/Alfred_Drake,https://en.wikipedia.org/wiki/Kismet_(musical),
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Walter Slezak,Fanny,Panisse,https://en.wikipedia.org/wiki/Walter_Slezak,https://en.wikipedia.org/wiki/Fanny_(musical),
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Ray Walston,Damn Yankees,Mr. Applegate,https://en.wikipedia.org/wiki/Ray_Walston,https://en.wikipedia.org/wiki/Damn_Yankees,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Stephen Douglass,Damn Yankees,Joe Hardy,https://en.wikipedia.org/wiki/Stephen_Douglass,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Bill Johnson,Pipe Dream,Doc,https://en.wikipedia.org/wiki/Bill_Johnson_(musical_theatre_actor),https://en.wikipedia.org/wiki/Pipe_Dream_(musical),
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Rex Harrison,My Fair Lady,Henry Higgins,https://en.wikipedia.org/wiki/Rex_Harrison,https://en.wikipedia.org/wiki/My_Fair_Lady,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Fernando Lamas,Happy Hunting,Duke of Granada,https://en.wikipedia.org/wiki/Fernando_Lamas,https://en.wikipedia.org/wiki/Happy_Hunting,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Robert Weede,The Most Happy Fella,Tony,https://en.wikipedia.org/wiki/Robert_Weede,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Tony Randall,"Oh, Captain!",Captain Henry St. James,https://en.wikipedia.org/wiki/Tony_Randall,"https://en.wikipedia.org/wiki/Oh,_Captain!",
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Eddie Foy Jr.,Rumple,Rumple,https://en.wikipedia.org/wiki/Eddie_Foy_Jr.,https://en.wikipedia.org/wiki/Rumple_(musical),
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Robert Preston,The Music Man,Harold Hill,https://en.wikipedia.org/wiki/Robert_Preston_(actor),https://en.wikipedia.org/wiki/The_Music_Man,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Ricardo Montalbán,Jamaica,Koli,https://en.wikipedia.org/wiki/Ricardo_Montalb%C3%A1n,https://en.wikipedia.org/wiki/Jamaica_(musical),
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Richard Kiley,Redhead,Tom Baxter,https://en.wikipedia.org/wiki/Richard_Kiley,https://en.wikipedia.org/wiki/Redhead_(musical),
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Larry Blyden,Flower Drum Song,Sammy Fong,https://en.wikipedia.org/wiki/Larry_Blyden,https://en.wikipedia.org/wiki/Flower_Drum_Song,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Anthony Perkins,Greenwillow,Gideon Briggs,https://en.wikipedia.org/wiki/Anthony_Perkins,https://en.wikipedia.org/wiki/Greenwillow,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Jackie Gleason,Take Me Along,Sid Davis,https://en.wikipedia.org/wiki/Jackie_Gleason,https://en.wikipedia.org/wiki/Take_Me_Along,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Robert Morse,Take Me Along,Richard Miller,https://en.wikipedia.org/wiki/Robert_Morse,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Walter Pidgeon,Take Me Along,Nat Miller,https://en.wikipedia.org/wiki/Walter_Pidgeon,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Andy Griffith,Destry Rides Again,Destry,https://en.wikipedia.org/wiki/Andy_Griffith,https://en.wikipedia.org/wiki/Destry_Rides_Again_(musical),
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Richard Burton,Camelot,Arthur,https://en.wikipedia.org/wiki/Richard_Burton,https://en.wikipedia.org/wiki/Camelot_(musical),https://en.wikipedia.org/wiki/King_Arthur
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Phil Silvers,Do Re Mi,Hubert Cram,https://en.wikipedia.org/wiki/Phil_Silvers,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical),
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Maurice Evans,Tenderloin,Reverend Brock,https://en.wikipedia.org/wiki/Maurice_Evans_(actor),https://en.wikipedia.org/wiki/Tenderloin_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Robert Morse,How to Succeed in Business Without Really Trying,J. Pierrepont Finch,https://en.wikipedia.org/wiki/Robert_Morse,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Ray Bolger,All-American,Professor Fodorski,https://en.wikipedia.org/wiki/Ray_Bolger,https://en.wikipedia.org/wiki/All_American_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Alfred Drake,Kean,Edmund Kean,https://en.wikipedia.org/wiki/Alfred_Drake,https://en.wikipedia.org/wiki/Kean_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Richard Kiley,No Strings,David Jordan,https://en.wikipedia.org/wiki/Richard_Kiley,https://en.wikipedia.org/wiki/No_Strings,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Clive Revill,Oliver!,Fagin,https://en.wikipedia.org/wiki/Clive_Revill,https://en.wikipedia.org/wiki/Oliver!,https://en.wikipedia.org/wiki/Fagin
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Anthony Newley,Stop the World – I Want to Get Off,Littlechap,https://en.wikipedia.org/wiki/Anthony_Newley,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Sid Caesar,Little Me,Various Characters,https://en.wikipedia.org/wiki/Sid_Caesar,https://en.wikipedia.org/wiki/Little_Me_(musical),
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Zero Mostel,A Funny Thing Happened on the Way to the Forum,Pseudolus,https://en.wikipedia.org/wiki/Zero_Mostel,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Bert Lahr,Foxy,Foxy,https://en.wikipedia.org/wiki/Bert_Lahr,https://en.wikipedia.org/wiki/Foxy_(musical),
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Sydney Chaplin,Funny Girl,Nick Arnstein,https://en.wikipedia.org/wiki/Sydney_Chaplin_(American_actor),https://en.wikipedia.org/wiki/Funny_Girl_(musical),
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Bob Fosse,Pal Joey,Joey Evans,https://en.wikipedia.org/wiki/Bob_Fosse,https://en.wikipedia.org/wiki/Pal_Joey_(musical),
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Steve Lawrence,What Makes Sammy Run?,Sammy Glick,https://en.wikipedia.org/wiki/Steve_Lawrence,https://en.wikipedia.org/wiki/What_Makes_Sammy_Run%3F_(musical),
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Zero Mostel,Fiddler on the Roof,Tevye,https://en.wikipedia.org/wiki/Zero_Mostel,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Tevye
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Sammy Davis Jr.,Golden Boy,Joe Wellington,https://en.wikipedia.org/wiki/Sammy_Davis_Jr.,https://en.wikipedia.org/wiki/Golden_Boy_(musical),
