year,season,season_link,winner,author,author_link,production,production_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Thomas HeggenandJoshua Logan,https://en.wikipedia.org/wiki/Thomas_Heggen,Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(play)
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Samuel and Bella Spewack,https://en.wikipedia.org/wiki/Samuel_and_Bella_Spewack,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,"Abe Burrows,Jack WeinstockandWillie Gilbert",https://en.wikipedia.org/wiki/Abe_Burrows,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Michael StewartandHelen Deutsch,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Carnival!,https://en.wikipedia.org/wiki/Carnival!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Burt SheveloveandLarry Gelbart,https://en.wikipedia.org/wiki/Burt_Shevelove,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart,Oliver!,https://en.wikipedia.org/wiki/Oliver!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Leslie BricusseandAnthony Newley,https://en.wikipedia.org/wiki/Leslie_Bricusse,Stop the World – I Want to Get Off,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Timothy GrayandHugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Noël CowardandHarry Kurnitz,https://en.wikipedia.org/wiki/No%C3%ABl_Coward,The Girl Who Came to Supper,https://en.wikipedia.org/wiki/The_Girl_Who_Came_to_Supper
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Sidney Michaels,https://en.wikipedia.org/wiki/Sidney_Michaels,Ben Franklin in Paris,https://en.wikipedia.org/wiki/Ben_Franklin_in_Paris
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,The Odd Couple,https://en.wikipedia.org/wiki/The_Odd_Couple_(play)
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee,Tiny Alice,https://en.wikipedia.org/wiki/Tiny_Alice
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Jerome Coopersmith,https://en.wikipedia.org/wiki/Jerome_Coopersmith,Baker Street,https://en.wikipedia.org/wiki/Baker_Street_(musical)
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Beverley Cross,https://en.wikipedia.org/wiki/Beverley_Cross,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Frank D. Gilroy,https://en.wikipedia.org/wiki/Frank_D._Gilroy,The Subject Was Roses,https://en.wikipedia.org/wiki/The_Subject_Was_Roses
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Murray Schisgal,https://en.wikipedia.org/wiki/Murray_Schisgal,Luv,https://en.wikipedia.org/wiki/Luv_(play)
