year,season,season_link,winner,author,author_link,production,production_link
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Bella & Samuel Spewack,https://en.wikipedia.org/wiki/Bella_and_Samuel_Spewack,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Oscar Hammerstein II&Joshua Logan,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,"Abe Burrows,Willie Gilbert&Jack Weinstock",https://en.wikipedia.org/wiki/Abe_Burrows,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Helen Deutsch&Michael Stewart,https://en.wikipedia.org/wiki/Helen_Deutsch,Carnival!,https://en.wikipedia.org/wiki/Carnival!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Larry Gelbart&Burt Shevelove,https://en.wikipedia.org/wiki/Larry_Gelbart,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart,Oliver!,https://en.wikipedia.org/wiki/Oliver!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Leslie Bricusse&Anthony Newley,https://en.wikipedia.org/wiki/Leslie_Bricusse,Stop the World – I Want to Get Off,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Noël Coward&Harry Kurnitz,https://en.wikipedia.org/wiki/No%C3%ABl_Coward,The Girl Who Came to Supper,https://en.wikipedia.org/wiki/The_Girl_Who_Came_to_Supper
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Jerome Coopersmith,https://en.wikipedia.org/wiki/Jerome_Coopersmith,Baker Street,https://en.wikipedia.org/wiki/Baker_Street_(musical)
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Beverley Cross,https://en.wikipedia.org/wiki/Beverley_Cross,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Sidney Michaels,https://en.wikipedia.org/wiki/Sidney_Michaels,Ben Franklin in Paris,https://en.wikipedia.org/wiki/Ben_Franklin_in_Paris
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,George Furth,https://en.wikipedia.org/wiki/George_Furth,Company,https://en.wikipedia.org/wiki/Company_(musical)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Robert H. Livingston & Herb Schapiro,,The Me Nobody Knows,https://en.wikipedia.org/wiki/The_Me_Nobody_Knows
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Sherman Yellen,https://en.wikipedia.org/wiki/Sherman_Yellen,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical)
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Melvin Van Peebles,https://en.wikipedia.org/wiki/Melvin_Van_Peebles,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,John Guare&Mel Shapiro,https://en.wikipedia.org/wiki/John_Guare,Two Gentlemen of Verona,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical)
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Grease,https://en.wikipedia.org/wiki/Grease_(musical)
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,James Goldman,https://en.wikipedia.org/wiki/James_Goldman,Follies,https://en.wikipedia.org/wiki/Follies
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Melvin Van Peebles,https://en.wikipedia.org/wiki/Melvin_Van_Peebles,Don't Play Us Cheap,https://en.wikipedia.org/wiki/Don%27t_Play_Us_Cheap
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Roger O. Hirson,https://en.wikipedia.org/wiki/Roger_O._Hirson,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Micki Grant,https://en.wikipedia.org/wiki/Micki_Grant,"Don't Bother Me, I Can't Cope","https://en.wikipedia.org/wiki/Don%27t_Bother_Me,_I_Can%27t_Cope"
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Candide,https://en.wikipedia.org/wiki/Candide_(operetta)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Seesaw,https://en.wikipedia.org/wiki/Seesaw_(musical)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Robert Nemiroff&Charlotte Zaltzberg,https://en.wikipedia.org/wiki/Robert_B._Nemiroff,Raisin,https://en.wikipedia.org/wiki/Raisin_(musical)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,"James Lee Barrett,Philip Rose&Peter Udell",https://en.wikipedia.org/wiki/James_Lee_Barrett,Shenandoah,https://en.wikipedia.org/wiki/Shenandoah_(musical)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,William F. Brown,https://en.wikipedia.org/wiki/William_F._Brown_(writer),The Wiz,https://en.wikipedia.org/wiki/The_Wiz
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,"Gene Curty, Nitra Scharfman &Chuck Strand",https://en.wikipedia.org/wiki/Chuck_Strand,The Lieutenant,https://en.wikipedia.org/wiki/The_Lieutenant_(musical)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Mack and Mabel,https://en.wikipedia.org/wiki/Mack_and_Mabel
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Nicholas Dante&James Kirkwood Jr.,https://en.wikipedia.org/wiki/Nicholas_Dante,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Fred Ebb&Bob Fosse,https://en.wikipedia.org/wiki/Fred_Ebb,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Alfred Uhry,https://en.wikipedia.org/wiki/Alfred_Uhry,The Robber Bridegroom,https://en.wikipedia.org/wiki/The_Robber_Bridegroom_(musical)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),I Love My Wife,https://en.wikipedia.org/wiki/I_Love_My_Wife
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Michael Feingold &Elisabeth Hauptmann,https://en.wikipedia.org/wiki/Elisabeth_Hauptmann,Happy End,https://en.wikipedia.org/wiki/Happy_End_(musical)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Thomas Meehan,https://en.wikipedia.org/wiki/Thomas_Meehan_(writer),Annie,https://en.wikipedia.org/wiki/Annie_(musical)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Vinnette Justine Carroll,https://en.wikipedia.org/wiki/Vinnette_Justine_Carroll,Your Arms Too Short to Box with God,https://en.wikipedia.org/wiki/Your_Arms_Too_Short_to_Box_with_God
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Christopher Durang,https://en.wikipedia.org/wiki/Christopher_Durang,A History of the American Film,
