year,season,season_link,winner,choreographer,choreographer_link,production,production_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Agnes de Mille,https://en.wikipedia.org/wiki/Agnes_de_Mille,Brigadoon,https://en.wikipedia.org/wiki/Brigadoon
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Jerome Robbins,https://en.wikipedia.org/wiki/Jerome_Robbins,High Button Shoes,https://en.wikipedia.org/wiki/High_Button_Shoes
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,Lend An Ear,https://en.wikipedia.org/wiki/Lend_an_Ear
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Helen Tamiris,https://en.wikipedia.org/wiki/Helen_Tamiris,Touch and Go,
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Robert Alton,https://en.wikipedia.org/wiki/Robert_Alton,Pal Joey,https://en.wikipedia.org/wiki/Pal_Joey_(musical)
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Donald Saddler,https://en.wikipedia.org/wiki/Donald_Saddler,Wonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,Can-Can,https://en.wikipedia.org/wiki/Can-Can_(musical)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Robert Alton,https://en.wikipedia.org/wiki/Robert_Alton,The Vamp,https://en.wikipedia.org/wiki/The_Vamp
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Boris Runanin,,Phoenix '55,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Boris Runanin,,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Anna Sokolow,https://en.wikipedia.org/wiki/Anna_Sokolow,Red Roses for Me,https://en.wikipedia.org/wiki/Red_Roses_for_Me_(play)
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Bob FosseandJerome Robbins,https://en.wikipedia.org/wiki/Bob_Fosse,Bells Are Ringing,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical)
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Dania Krupska,https://en.wikipedia.org/wiki/Dania_Krupska,The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,Li'l Abner,https://en.wikipedia.org/wiki/Li%27l_Abner_(musical)
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Hanya Holm,https://en.wikipedia.org/wiki/Hanya_Holm,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Jerome Robbins,https://en.wikipedia.org/wiki/Jerome_Robbins,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story
