year,season,season_link,winner,designer,designer_link,production,production_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Lucinda Ballard,https://en.wikipedia.org/wiki/Lucinda_Ballard,"Another Part of the Forest,The Chocolate Soldier,Happy Birthday,John Loves MaryandStreet Scene",https://en.wikipedia.org/wiki/Another_Part_of_the_Forest
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Mary Percy Schenck,,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Lemuel Ayers,,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Aline Bernstein,https://en.wikipedia.org/wiki/Aline_Bernstein,Regina,https://en.wikipedia.org/wiki/Regina_(opera)
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Miles White,https://en.wikipedia.org/wiki/Miles_White,Bless You All,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Irene Sharaff,https://en.wikipedia.org/wiki/Irene_Sharaff,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Miles White,https://en.wikipedia.org/wiki/Miles_White,Hazel Flagg,https://en.wikipedia.org/wiki/Hazel_Flagg
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Richard Whorf,https://en.wikipedia.org/wiki/Richard_Whorf,Ondine,https://en.wikipedia.org/wiki/Ondine_(ballet)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Cecil Beaton,https://en.wikipedia.org/wiki/Cecil_Beaton,Quadrille,https://en.wikipedia.org/wiki/Quadrille_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Mainbocher,https://en.wikipedia.org/wiki/Mainbocher,The Great Sebastians,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Helene Pons,,"A View from the Bridge,The Diary of Anne FrankandHeavenly Twins",https://en.wikipedia.org/wiki/A_View_from_the_Bridge
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Alvin Colt,https://en.wikipedia.org/wiki/Alvin_Colt,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Alvin Colt,https://en.wikipedia.org/wiki/Alvin_Colt,The LarkandPhoenix '55,https://en.wikipedia.org/wiki/The_Lark_(play)
