year,season,season_link,winner,designer,designer_link,production,production_link
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,AdrianandTony Duquette,https://en.wikipedia.org/wiki/Adrian_(costume_designer),Camelot,https://en.wikipedia.org/wiki/Camelot_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Cecil Beaton,https://en.wikipedia.org/wiki/Cecil_Beaton,Tenderloin,https://en.wikipedia.org/wiki/Tenderloin_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Rolf Gerard,,Irma la Douce,https://en.wikipedia.org/wiki/Irma_la_Douce
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,The Light in the Piazza,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Tim Hatley,https://en.wikipedia.org/wiki/Tim_Hatley,Monty Python's Spamalot,https://en.wikipedia.org/wiki/Spamalot
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Junko Kushino,,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Martin Pakledinaz,https://en.wikipedia.org/wiki/Martin_Pakledinaz,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Susan Hilferty,https://en.wikipedia.org/wiki/Susan_Hilferty,Lestat,https://en.wikipedia.org/wiki/Lestat_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,The Drowsy Chaperone,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Grey Gardens,https://en.wikipedia.org/wiki/Grey_Gardens_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Legally Blonde,https://en.wikipedia.org/wiki/Legally_Blonde_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Susan Hilferty,https://en.wikipedia.org/wiki/Susan_Hilferty,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Martin Pakledinaz,https://en.wikipedia.org/wiki/Martin_Pakledinaz,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,David Farley,,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Tim Hatley,https://en.wikipedia.org/wiki/Tim_Hatley,Shrek The Musical,https://en.wikipedia.org/wiki/Shrek_The_Musical
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Gregory Gale,https://en.wikipedia.org/wiki/Gregory_Gale,Rock of Ages,https://en.wikipedia.org/wiki/Rock_of_Ages_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Nicky Gillibrand,https://en.wikipedia.org/wiki/Nicky_Gillibrand,Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Michael McDonald,https://en.wikipedia.org/wiki/Michael_McDonald_(costume_designer),Hair,https://en.wikipedia.org/wiki/Hair_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Marina Draghici,,Fela!,https://en.wikipedia.org/wiki/Fela!
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,Memphis,https://en.wikipedia.org/wiki/Memphis_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Matthew Wright,,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Tim Chappel andLizzy Gardiner,https://en.wikipedia.org/wiki/Lizzy_Gardiner,"Priscilla, Queen of the Desert","https://en.wikipedia.org/wiki/Priscilla,_Queen_of_the_Desert_(musical)"
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Martin Pakledinaz,https://en.wikipedia.org/wiki/Martin_Pakledinaz,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Eiko Ishioka,https://en.wikipedia.org/wiki/Eiko_Ishioka,Spider-Man: Turn Off the Dark,https://en.wikipedia.org/wiki/Spider-Man:_Turn_Off_the_Dark
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Martin Pakledinaz,https://en.wikipedia.org/wiki/Martin_Pakledinaz,Nice Work If You Can Get It,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Follies,https://en.wikipedia.org/wiki/Follies
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,ESosa,,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Rodgers and Hammerstein's Cinderella,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Kinky Boots,https://en.wikipedia.org/wiki/Kinky_Boots_(musical)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,Matilda the Musical,https://en.wikipedia.org/wiki/Matilda_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Dominique Lemieux,,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Linda Cho,,A Gentleman's Guide to Love and Murder,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Bullets Over Broadway,https://en.wikipedia.org/wiki/Bullets_Over_Broadway_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Arianne Phillips,https://en.wikipedia.org/wiki/Arianne_Phillips,Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Isabel Toledo,https://en.wikipedia.org/wiki/Isabel_Toledo,After Midnight,https://en.wikipedia.org/wiki/After_Midnight_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Something Rotten!,https://en.wikipedia.org/wiki/Something_Rotten!
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jeff Mahshie,,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,Shuffle Along,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed"
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,Hamilton,https://en.wikipedia.org/wiki/Hamilton_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Tuck Everlasting,https://en.wikipedia.org/wiki/Tuck_Everlasting_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Linda Cho,,Anastasia,https://en.wikipedia.org/wiki/Anastasia_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Paloma Young,https://en.wikipedia.org/wiki/Paloma_Young,"Natasha, Pierre & The Great Comet of 1812","https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,War Paint,https://en.wikipedia.org/wiki/War_Paint_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Clint Ramos,,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
