year,season,season_link,winner,designer,designer_link,production,production_link
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Motley Theatre Design Group,https://en.wikipedia.org/wiki/Motley_Theatre_Design_Group,Becket,https://en.wikipedia.org/wiki/Becket
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Theoni V. Aldredge,https://en.wikipedia.org/wiki/Theoni_V._Aldredge,The Devil's Advocate,https://en.wikipedia.org/wiki/The_Devil%27s_Advocate_(Morris_West_novel)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Raymond Sovey,,All the Way Home,https://en.wikipedia.org/wiki/All_the_Way_Home_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Jess Goldstein,https://en.wikipedia.org/wiki/Jess_Goldstein,The Rivals,https://en.wikipedia.org/wiki/The_Rivals
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Constanza Romero,https://en.wikipedia.org/wiki/Constanza_Romero,Gem of the Ocean,https://en.wikipedia.org/wiki/Gem_of_the_Ocean
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,Seascape,https://en.wikipedia.org/wiki/Seascape_(play)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,A Touch of the Poet,https://en.wikipedia.org/wiki/A_Touch_of_the_Poet
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Michael Krass,,The Constant Wife,https://en.wikipedia.org/wiki/The_Constant_Wife
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Ti GreenandMelly Still,https://en.wikipedia.org/wiki/Ti_Green,Coram Boy,https://en.wikipedia.org/wiki/Coram_Boy_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House
