year,season,season_link,winner,director,director_link,production,production_link
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Joshua Logan,https://en.wikipedia.org/wiki/Joshua_Logan,South Pacific†,https://en.wikipedia.org/wiki/South_Pacific_(musical)
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,George S. Kaufman,https://en.wikipedia.org/wiki/George_S._Kaufman,Guys and Dolls†,https://en.wikipedia.org/wiki/Guys_and_Dolls
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Moss Hart,https://en.wikipedia.org/wiki/Moss_Hart,My Fair Lady†,https://en.wikipedia.org/wiki/My_Fair_Lady
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,,,,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,George Abbott,https://en.wikipedia.org/wiki/George_Abbott,Fiorello!†,https://en.wikipedia.org/wiki/Fiorello!
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Vincent J. Donehue,https://en.wikipedia.org/wiki/Vincent_J._Donehue,The Sound of Music†,https://en.wikipedia.org/wiki/The_Sound_of_Music
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Peter Glenville,https://en.wikipedia.org/wiki/Peter_Glenville,Take Me Along,https://en.wikipedia.org/wiki/Take_Me_Along
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,Destry Rides Again,https://en.wikipedia.org/wiki/Destry_Rides_Again
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Jerome Robbins,https://en.wikipedia.org/wiki/Jerome_Robbins,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,Bye Bye Birdie†,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Peter Brook,https://en.wikipedia.org/wiki/Peter_Brook,Irma La Douce,https://en.wikipedia.org/wiki/Irma_La_Douce_(musical)
