year,season,season_link,winner,director,director_link,production,production_link
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Arthur Penn,https://en.wikipedia.org/wiki/Arthur_Penn,The Miracle Worker,https://en.wikipedia.org/wiki/The_Miracle_Worker_(play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Joseph Anthony,https://en.wikipedia.org/wiki/Joseph_Anthony,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Tyrone Guthrie,https://en.wikipedia.org/wiki/Tyrone_Guthrie,The Tenth Man,https://en.wikipedia.org/wiki/The_Tenth_Man_(Chayefsky_play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Elia Kazan,https://en.wikipedia.org/wiki/Elia_Kazan,Sweet Bird of Youth,https://en.wikipedia.org/wiki/Sweet_Bird_of_Youth
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Lloyd Richards,https://en.wikipedia.org/wiki/Lloyd_Richards,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,John Gielgud,https://en.wikipedia.org/wiki/John_Gielgud,"Big Fish, Little Fish","https://en.wikipedia.org/wiki/Big_Fish,_Little_Fish_(play)"
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Joseph Anthony,https://en.wikipedia.org/wiki/Joseph_Anthony,Rhinoceros,https://en.wikipedia.org/wiki/Rhinoceros_(play)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Joan Littlewood,https://en.wikipedia.org/wiki/Joan_Littlewood,The Hostage,https://en.wikipedia.org/wiki/The_Hostage_(play)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Arthur Penn,https://en.wikipedia.org/wiki/Arthur_Penn,All the Way Home,https://en.wikipedia.org/wiki/All_the_Way_Home_(play)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Noel Willman,https://en.wikipedia.org/wiki/Noel_Willman,A Man for All Seasons,https://en.wikipedia.org/wiki/A_Man_for_All_Seasons
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Tyrone Guthrie,https://en.wikipedia.org/wiki/Tyrone_Guthrie,Gideon,https://en.wikipedia.org/wiki/Gideon_(play)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Donald McWhinnie,https://en.wikipedia.org/wiki/Donald_McWhinnie,The Caretaker,https://en.wikipedia.org/wiki/The_Caretaker
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,José Quintero,https://en.wikipedia.org/wiki/Jos%C3%A9_Quintero,Great Day in the Morning,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Peter Glenville,https://en.wikipedia.org/wiki/Peter_Glenville,Tchin-Tchin,https://en.wikipedia.org/wiki/Tchin-Tchin
