year,season,season_link,winner,director,director_link,production,production_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Elia Kazan,https://en.wikipedia.org/wiki/Elia_Kazan,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Joshua Logan,https://en.wikipedia.org/wiki/Joshua_Logan,Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(play)
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Elia Kazan,https://en.wikipedia.org/wiki/Elia_Kazan,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Joshua Logan,https://en.wikipedia.org/wiki/Joshua_Logan,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical)
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,George S. Kaufman,https://en.wikipedia.org/wiki/George_S._Kaufman,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,José Ferrer,https://en.wikipedia.org/wiki/Jos%C3%A9_Ferrer,"The Shrike,The FourposterandStalag 17",https://en.wikipedia.org/wiki/The_Shrike_(play)
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Joshua Logan,https://en.wikipedia.org/wiki/Joshua_Logan,Picnic,https://en.wikipedia.org/wiki/Picnic_(play)
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Alfred Lunt,https://en.wikipedia.org/wiki/Alfred_Lunt,Ondine,https://en.wikipedia.org/wiki/Ondine_(play)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Robert Montgomery,https://en.wikipedia.org/wiki/Robert_Montgomery_(actor),The Desperate Hours,https://en.wikipedia.org/wiki/The_Desperate_Hours_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Herman Shumlin,https://en.wikipedia.org/wiki/Herman_Shumlin,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Albert Marre,https://en.wikipedia.org/wiki/Albert_Marre,The Chalk Garden,https://en.wikipedia.org/wiki/The_Chalk_Garden
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Elia Kazan,https://en.wikipedia.org/wiki/Elia_Kazan,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Garson Kanin,https://en.wikipedia.org/wiki/Garson_Kanin,The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Tyrone Guthrie,https://en.wikipedia.org/wiki/Tyrone_Guthrie,The Matchmaker,https://en.wikipedia.org/wiki/The_Matchmaker
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Harold Clurman,https://en.wikipedia.org/wiki/Harold_Clurman,"Bus Stop,Pipe DreamandTiger at the Gates",https://en.wikipedia.org/wiki/Bus_Stop_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Joseph Anthony,https://en.wikipedia.org/wiki/Joseph_Anthony,The Lark,https://en.wikipedia.org/wiki/The_Lark_(play)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Tyrone Guthrie,https://en.wikipedia.org/wiki/Tyrone_Guthrie,"The Matchmaker,Six Characters in Search of an AuthorandTamburlaine the Great",https://en.wikipedia.org/wiki/The_Matchmaker
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,José Quintero,https://en.wikipedia.org/wiki/Jos%C3%A9_Quintero,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Peter Glenville,https://en.wikipedia.org/wiki/Peter_Glenville,Separate Lives,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Moss Hart,https://en.wikipedia.org/wiki/Moss_Hart,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Joseph Anthony,https://en.wikipedia.org/wiki/Joseph_Anthony,A Clearing in the WoodsandThe Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Harold Clurman,https://en.wikipedia.org/wiki/Harold_Clurman,The Waltz of the Toreadors,https://en.wikipedia.org/wiki/The_Waltz_of_the_Toreadors
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Vincent J. Donehue,https://en.wikipedia.org/wiki/Vincent_J._Donehue,Sunrise at Campobello,https://en.wikipedia.org/wiki/Sunrise_at_Campobello_(play)
