year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,David Wayne,https://en.wikipedia.org/wiki/David_Wayne,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Og,
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Myron McCormick,https://en.wikipedia.org/wiki/Myron_McCormick,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Luther Billis,
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Russell Nype,https://en.wikipedia.org/wiki/Russell_Nype,Call Me Madam,https://en.wikipedia.org/wiki/Call_Me_Madam,Kenneth Gibson,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Yul Brynner,https://en.wikipedia.org/wiki/Yul_Brynner,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,The King of Siam,https://en.wikipedia.org/wiki/Mongkut
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Hiram Sherman,https://en.wikipedia.org/wiki/Hiram_Sherman,Two's Company,https://en.wikipedia.org/wiki/Two%27s_Company_(musical),Various Characters,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Harry Belafonte,https://en.wikipedia.org/wiki/Harry_Belafonte,John Murray Anderson's Almanac,https://en.wikipedia.org/wiki/John_Murray_Anderson%27s_Almanac,Various Characters,
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Cyril Ritchard,https://en.wikipedia.org/wiki/Cyril_Ritchard,Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),Captain Hook/ Mr. Darling,https://en.wikipedia.org/wiki/Captain_Hook
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Russ Brown,https://en.wikipedia.org/wiki/Russ_Brown_(actor),Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,Benny Van Buren,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Mike Kellin,https://en.wikipedia.org/wiki/Mike_Kellin,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical),Hazel,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Will Mahoney,https://en.wikipedia.org/wiki/Will_Mahoney,Finian's Rainbow,https://en.wikipedia.org/wiki/Finian%27s_Rainbow,Finian McLonergan,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Scott Merrill,,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Macheath,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Sydney Chaplin,https://en.wikipedia.org/wiki/Sydney_Chaplin_(American_actor),Bells Are Ringing,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),Jeff Moss,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Robert Coote,https://en.wikipedia.org/wiki/Robert_Coote,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,Colonel Pickering,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Stanley Holloway,https://en.wikipedia.org/wiki/Stanley_Holloway,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,Alfred P. Doolittle,
