year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1949,1949,/wiki/3rd_Tony_Awards,True,Arthur Kennedy,https://en.wikipedia.org/wiki/Arthur_Kennedy,Biff Loman,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,[2],https://en.wikipedia.org#cite_note-1949_Awards-2,
1950,1950,/wiki/4th_Tony_Awards,False,,,,,,[a],https://en.wikipedia.org#cite_note-7,
1951,1951,/wiki/5th_Tony_Awards,True,Eli Wallach,https://en.wikipedia.org/wiki/Eli_Wallach,Alvaro Mangiacavallo,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,[7],https://en.wikipedia.org#cite_note-1951_Awards-8,
1952,1952,/wiki/6th_Tony_Awards,True,John Cromwell,https://en.wikipedia.org/wiki/John_Cromwell_(director),John Gray,Point of No Return,https://en.wikipedia.org/wiki/Point_of_No_Return_(play),[8],https://en.wikipedia.org#cite_note-1952_Awards-9,
1953,1953,/wiki/7th_Tony_Awards,True,John Williams,https://en.wikipedia.org/wiki/John_Williams_(actor),Inspector Hubbard,Dial M for Murder,https://en.wikipedia.org/wiki/Dial_M_for_Murder,[9],https://en.wikipedia.org#cite_note-1953_Awards-10,
1954,1954,/wiki/8th_Tony_Awards,True,John Kerr,https://en.wikipedia.org/wiki/John_Kerr_(actor),Tom Robinson Lee,Tea and Sympathy,https://en.wikipedia.org/wiki/Tea_and_Sympathy_(play),[10],https://en.wikipedia.org#cite_note-1954_Awards-11,
1955,1955,/wiki/9th_Tony_Awards,True,Francis L. Sullivan,https://en.wikipedia.org/wiki/Francis_L._Sullivan,"Sir Wilfrid Robats, Q.C.",Witness for the Prosecution,https://en.wikipedia.org/wiki/Witness_for_the_Prosecution_(play),[11],https://en.wikipedia.org#cite_note-1955_Awards-12,
1956,1956,/wiki/10th_Tony_Awards,False,Fritz Weaver,https://en.wikipedia.org/wiki/Fritz_Weaver,Maitland,The Chalk Garden,https://en.wikipedia.org/wiki/The_Chalk_Garden,[12],https://en.wikipedia.org#cite_note-1956_Awards-13,
1956,1956,/wiki/10th_Tony_Awards,False,Anthony Quayle,https://en.wikipedia.org/wiki/Anthony_Quayle,Tamburlaine,Tamburlaine the Great,https://en.wikipedia.org/wiki/Tamburlaine,[12],https://en.wikipedia.org#cite_note-1956_Awards-13,
1956,1956,/wiki/10th_Tony_Awards,False,Anthony Franciosa,https://en.wikipedia.org/wiki/Anthony_Franciosa,Polo Pope,A Hatful of Rain,https://en.wikipedia.org/wiki/A_Hatful_of_Rain,[12],https://en.wikipedia.org#cite_note-1956_Awards-13,
1956,1956,/wiki/10th_Tony_Awards,True,Ed Begley,https://en.wikipedia.org/wiki/Ed_Begley,Matthew Harrison Brady,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play),[12],https://en.wikipedia.org#cite_note-1956_Awards-13,
1956,1956,/wiki/10th_Tony_Awards,False,Andy Griffith,https://en.wikipedia.org/wiki/Andy_Griffith,Will Stockdale,No Time for Sergeants,https://en.wikipedia.org/wiki/No_Time_for_Sergeants#Broadway_play,[12],https://en.wikipedia.org#cite_note-1956_Awards-13,
1957,1957,/wiki/11th_Tony_Awards,True,Frank Conroy,https://en.wikipedia.org/wiki/Frank_Conroy_(actor),Father William Callifer,The Potting Shed,https://en.wikipedia.org/wiki/The_Potting_Shed,[13],https://en.wikipedia.org#cite_note-1957_Awards-14,
1957,1957,/wiki/11th_Tony_Awards,False,Eddie Mayehoff,https://en.wikipedia.org/wiki/Eddie_Mayehoff,General Tom Powers,A Visit to a Small Planet,https://en.wikipedia.org/wiki/Visit_to_a_Small_Planet,[13],https://en.wikipedia.org#cite_note-1957_Awards-14,
1957,1957,/wiki/11th_Tony_Awards,False,William Podmore,,Mr. Fowler,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables,[13],https://en.wikipedia.org#cite_note-1957_Awards-14,
1957,1957,/wiki/11th_Tony_Awards,False,Jason Robards,https://en.wikipedia.org/wiki/Jason_Robards,"James Tyrone, Jr.",Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,[13],https://en.wikipedia.org#cite_note-1957_Awards-14,
1958,1958,/wiki/12th_Tony_Awards,False,George Relph,https://en.wikipedia.org/wiki/George_Relph,Billy Rice,The Entertainer,https://en.wikipedia.org/wiki/The_Entertainer_(play),[14],https://en.wikipedia.org#cite_note-1958_Awards-15,
1958,1958,/wiki/12th_Tony_Awards,False,Pat Hingle,https://en.wikipedia.org/wiki/Pat_Hingle,Rubin Flood,The Dark at the Top of the Stairs,https://en.wikipedia.org/wiki/The_Dark_at_the_Top_of_the_Stairs,[14],https://en.wikipedia.org#cite_note-1958_Awards-15,
1958,1958,/wiki/12th_Tony_Awards,True,Henry Jones,https://en.wikipedia.org/wiki/Henry_Jones_(actor),Louis McHenry Howe,Sunrise At Campobello,https://en.wikipedia.org/wiki/Sunrise_at_Campobello_(play),[14],https://en.wikipedia.org#cite_note-1958_Awards-15,
