year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Juanita Hall,https://en.wikipedia.org/wiki/Juanita_Hall,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Bloody Mary,https://en.wikipedia.org/wiki/Bloody_Mary_(South_Pacific)
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Isabel Bigley,https://en.wikipedia.org/wiki/Isabel_Bigley,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,Sarah Brown,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Helen Gallagher,https://en.wikipedia.org/wiki/Helen_Gallagher,Pal Joey,https://en.wikipedia.org/wiki/Pal_Joey_(musical),Gladys Bumps,
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Sheila Bond,https://en.wikipedia.org/wiki/Sheila_Bond,Wish You Were Here,https://en.wikipedia.org/wiki/Wish_You_Were_Here_(musical),Fay Fromkin,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Gwen Verdon,https://en.wikipedia.org/wiki/Gwen_Verdon,Can-Can,https://en.wikipedia.org/wiki/Can-Can_(musical),Claudine,
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Carol Haney,https://en.wikipedia.org/wiki/Carol_Haney,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game,Gladys Hotchkiss,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Lotte Lenya,https://en.wikipedia.org/wiki/Lotte_Lenya,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Jenny,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Rae Allen,https://en.wikipedia.org/wiki/Rae_Allen,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,Gloria Thorpe,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Pat Carroll,https://en.wikipedia.org/wiki/Pat_Carroll_(actress),Catch a Star,,Various Characters,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Judy Tyler,https://en.wikipedia.org/wiki/Judy_Tyler,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical),Suzy,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Edie Adams,https://en.wikipedia.org/wiki/Edie_Adams,Lil' Abner,https://en.wikipedia.org/wiki/Li%27l_Abner_(musical),Daisy Mae,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Virginia Gibson,https://en.wikipedia.org/wiki/Virginia_Gibson,Happy Hunting,https://en.wikipedia.org/wiki/Happy_Hunting,Beth Livingstone,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Irra Petina,https://en.wikipedia.org/wiki/Irra_Petina,Candide,https://en.wikipedia.org/wiki/Candide_(operetta),The Old Lady,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Jo Sullivan Loesser,https://en.wikipedia.org/wiki/Jo_Sullivan_Loesser,The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,Rosabella,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Jackie McKeever,https://en.wikipedia.org/wiki/Jackie_McKeever,"Oh, Captain!",,Mrs. Maud St.James,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Carol Lawrence,https://en.wikipedia.org/wiki/Carol_Lawrence,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story,Maria,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Josephine Premice,https://en.wikipedia.org/wiki/Josephine_Premice,Jamaica,https://en.wikipedia.org/wiki/Jamaica_(musical),Ginger,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Barbara Cook,https://en.wikipedia.org/wiki/Barbara_Cook,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,Marian Paroo,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Susan Johnson,https://en.wikipedia.org/wiki/Susan_Johnson_(actor),"Oh, Captain!","https://en.wikipedia.org/wiki/Oh,_Captain!",Mae,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Pat Stanley,https://en.wikipedia.org/wiki/Pat_Stanley,Goldilocks,https://en.wikipedia.org/wiki/Goldilocks_(musical),Lois Lee,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Julienne Marie,https://en.wikipedia.org/wiki/Julienne_Marie,Whoop-Up,https://en.wikipedia.org/wiki/Whoop-Up,Mary Champlain,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Patricia Neway,https://en.wikipedia.org/wiki/Patricia_Neway,The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music,Mother Abbess,"https://en.wikipedia.org/wiki/Virgilia,_Mother_Abbess"
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Sandra Church,https://en.wikipedia.org/wiki/Sandra_Church,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Louise,https://en.wikipedia.org/wiki/Gypsy_Rose_Lee
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Pert Kelton,https://en.wikipedia.org/wiki/Pert_Kelton,Greenwillow,https://en.wikipedia.org/wiki/Greenwillow,Gramma Briggs,
