year,season,season_link,actor,actor_link,role,role_link,production,production_link,winner
1947,1st tony awards,/wiki/1st_Tony_Awards,Patricia Neal,https://en.wikipedia.org/wiki/Patricia_Neal,Regina Hubbard,,Another Part of the Forest,https://en.wikipedia.org/wiki/Another_Part_of_the_Forest,True
1949,3rd tony awards,/wiki/3rd_Tony_Awards,Shirley Booth,https://en.wikipedia.org/wiki/Shirley_Booth,Grace Woods,,"Goodbye, My Fancy","https://en.wikipedia.org/wiki/Goodbye,_My_Fancy",True
1951,5th tony awards,/wiki/5th_Tony_Awards,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Serafina Delle Rose,,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,True
1952,6th tony awards,/wiki/6th_Tony_Awards,Marian Winters,https://en.wikipedia.org/wiki/Marian_Winters,Natalia Landauer,,I Am a Camera,https://en.wikipedia.org/wiki/I_Am_a_Camera,True
1953,7th tony awards,/wiki/7th_Tony_Awards,Beatrice Straight,https://en.wikipedia.org/wiki/Beatrice_Straight,Elizabeth Proctor,,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,True
1954,8th tony awards,/wiki/8th_Tony_Awards,Jo Van Fleet,https://en.wikipedia.org/wiki/Jo_Van_Fleet,Jessie Mae Watts,,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful,True
1955,9th tony awards,/wiki/9th_Tony_Awards,Patricia Jessel,https://en.wikipedia.org/wiki/Patricia_Jessel,Romaine,,Witness for the Prosecution,https://en.wikipedia.org/wiki/Witness_for_the_Prosecution_(play),True
1956,10th tony awards,/wiki/10th_Tony_Awards,Una Merkel,https://en.wikipedia.org/wiki/Una_Merkel,Edna Earle Ponder,,The Ponder Heart,https://en.wikipedia.org/wiki/The_Ponder_Heart,True
1956,10th tony awards,/wiki/10th_Tony_Awards,Diane Cilento,https://en.wikipedia.org/wiki/Diane_Cilento,Helen of Troy,https://en.wikipedia.org/wiki/Helen_of_Troy,Tiger at the Gates,https://en.wikipedia.org/wiki/Tiger_at_the_Gates,False
1956,10th tony awards,/wiki/10th_Tony_Awards,Anne Jackson,https://en.wikipedia.org/wiki/Anne_Jackson,The Daughter,,Middle of the Night,https://en.wikipedia.org/wiki/Middle_of_the_Night,False
1956,10th tony awards,/wiki/10th_Tony_Awards,Elaine Stritch,https://en.wikipedia.org/wiki/Elaine_Stritch,Grace Hoylard,,Bus Stop,https://en.wikipedia.org/wiki/Bus_Stop_(play),False
1957,11th tony awards,/wiki/11th_Tony_Awards,Diana Van der Vlis,https://en.wikipedia.org/wiki/Diana_Van_der_Vlis,Cordelia Biddle,,The Happiest Millionaire,https://en.wikipedia.org/wiki/The_Happiest_Millionaire,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Terry,,Mrs. Railton-Bell,,Separate Tables,,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Mildred Natwick,https://en.wikipedia.org/wiki/Mildred_Natwick,Mme. St. Pé,,The Waltz of the Toreadors,https://en.wikipedia.org/wiki/The_Waltz_of_the_Toreadors,False
