year,season,season_link,winner,designer,designer_link,production,production_link,award type
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Jo  Mielziner,https://en.wikipedia.org/wiki/Jo_Mielziner,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(play),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,Applause,https://en.wikipedia.org/wiki/Applause_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Thomas R. Skelton,https://en.wikipedia.org/wiki/Thomas_R._Skelton,Indians,https://en.wikipedia.org/wiki/Indians_(play),
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,R.H. Poindexter,https://en.wikipedia.org/wiki/R.H._Poindexter,Paul Sill's Story Theatre,https://en.wikipedia.org/wiki/Paul_Sill%27s_Story_Theatre,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Robert Ornbo,,Company,https://en.wikipedia.org/wiki/Company_(musical),
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,William Ritman,,Sleuth,https://en.wikipedia.org/wiki/Sleuth_(play),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,Follies,https://en.wikipedia.org/wiki/Follies,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Martin Aronstein,https://en.wikipedia.org/wiki/Martin_Aronstein,Ain't Supposed To Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,John Bury,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer),Old Times,https://en.wikipedia.org/wiki/Old_Times,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Martin Aronstein,https://en.wikipedia.org/wiki/Martin_Aronstein,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Ian Calderon,,That Championship Season,https://en.wikipedia.org/wiki/That_Championship_Season,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,The Good Doctor,https://en.wikipedia.org/wiki/The_Good_Doctor_(play),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ben Edwards,,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Martin Aronstein,https://en.wikipedia.org/wiki/Martin_Aronstein,Boom Boom Room,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Ulysses in Nighttown,https://en.wikipedia.org/wiki/Ulysses_in_Nighttown,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Neil Peter Jampolis,https://en.wikipedia.org/wiki/Neil_Peter_Jampolis,Sherlock Holmes,https://en.wikipedia.org/wiki/Sherlock_Holmes,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Abe Feder,https://en.wikipedia.org/wiki/Abe_Feder,Goodtime Charley,https://en.wikipedia.org/wiki/Goodtime_Charley,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Chip Monk,,The Rocky Horror Show,https://en.wikipedia.org/wiki/The_Rocky_Horror_Show,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Andy Phillips,,Equus,https://en.wikipedia.org/wiki/Equus_(play),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Thomas R. Skelton,https://en.wikipedia.org/wiki/Thomas_R._Skelton,All God's Chillun Got Wings,https://en.wikipedia.org/wiki/All_God%27s_Chillun_Got_Wings_(play),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,James Tilton,,Seascape,https://en.wikipedia.org/wiki/Seascape_(play),
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Ian Calderon,,Trelawny of the Wells,https://en.wikipedia.org/wiki/Trelawny_of_the_Wells,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Neil Peter Jampolis,https://en.wikipedia.org/wiki/Neil_Peter_Jampolis,The Innocents,https://en.wikipedia.org/wiki/The_Innocents_(play),
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,The Cherry Orchard,https://en.wikipedia.org/wiki/The_Cherry_Orchard,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,John Bury,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer),No Man's Land,https://en.wikipedia.org/wiki/No_Man%27s_Land_(play),
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Pat Collins,https://en.wikipedia.org/wiki/Pat_Collins_(lighting_designer),Threepenny Opera,https://en.wikipedia.org/wiki/Threepenny_Opera,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,The Act,https://en.wikipedia.org/wiki/The_Act_(musical),
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Beatlemania,https://en.wikipedia.org/wiki/Beatlemania_(musical),
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Dancin',https://en.wikipedia.org/wiki/Dancin%27,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,Working,https://en.wikipedia.org/wiki/Working_(musical),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Roger Morgan,https://en.wikipedia.org/wiki/Roger_Morgan_(designer),The Crucifer of Blood,https://en.wikipedia.org/wiki/The_Crucifer_of_Blood,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Beverly Emmons,https://en.wikipedia.org/wiki/Beverly_Emmons,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Evita,https://en.wikipedia.org/wiki/Evita_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Beverly Emmons,https://en.wikipedia.org/wiki/Beverly_Emmons,A Day in Hollywood/A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood/A_Night_in_the_Ukraine,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Craig Miller,,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical),
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Dennis Parichy,https://en.wikipedia.org/wiki/Dennis_Parichy,Talley's Folly,https://en.wikipedia.org/wiki/Talley%27s_Folly,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,John Bury,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer),Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play),
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Dennis Parichy,https://en.wikipedia.org/wiki/Dennis_Parichy,Fifth of July,https://en.wikipedia.org/wiki/Fifth_of_July,
