year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Bella & Samuel Spewack,https://en.wikipedia.org/wiki/Samuel_and_Bella_Spewack,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,South Pacific†,https://en.wikipedia.org/wiki/South_Pacific_(musical),Oscar Hammerstein II&Joshua Logan,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,Abe Burrows&Jo Swerling,https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Wonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town,Jerome Chodorov&Joseph Fields,https://en.wikipedia.org/wiki/Jerome_Chodorov,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Kismet,https://en.wikipedia.org/wiki/Kismet_(musical),Luther Davis&Charles Lederer,https://en.wikipedia.org/wiki/Luther_Davis,Alexander Borodin,https://en.wikipedia.org/wiki/Alexander_Borodin,Chet Forrest&Bob Wright,https://en.wikipedia.org/wiki/George_Forrest_(author)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game,George Abbott&Richard Pike Bissell,https://en.wikipedia.org/wiki/George_Abbott,Richard Adler&Jerry Ross,https://en.wikipedia.org/wiki/Richard_Adler,Richard Adler&Jerry Ross,https://en.wikipedia.org/wiki/Richard_Adler
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,George Abbott&Douglass Wallop,https://en.wikipedia.org/wiki/George_Abbott,Richard Adler,https://en.wikipedia.org/wiki/Richard_Adler,Jerry Ross,https://en.wikipedia.org/wiki/Jerry_Ross_(composer)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Pipe Dream,https://en.wikipedia.org/wiki/Pipe_Dream_(musical),Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner,Frederick Loewe,https://en.wikipedia.org/wiki/Frederick_Loewe,Lerner,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Bells Are Ringing,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Comden & Green,
