year,season,season_link,winner,orchestrator,orchestrator_link,production,production_link
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,Titanic,https://en.wikipedia.org/wiki/Titanic_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Michael Gibson,https://en.wikipedia.org/wiki/Michael_Gibson_(musician),Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier_(musical)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Luther Henderson,https://en.wikipedia.org/wiki/Luther_Henderson,Play On!,https://en.wikipedia.org/wiki/Play_On!
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Don Sebesky&Harold Wheeler,https://en.wikipedia.org/wiki/Don_Sebesky,The Life,https://en.wikipedia.org/wiki/The_Life_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Bill Brohn,https://en.wikipedia.org/wiki/William_David_Brohn,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,"Robert Elhai, Bruce Fowler &David Metzger",https://en.wikipedia.org/wiki/David_Metzger,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Michael Gibson,https://en.wikipedia.org/wiki/Michael_Gibson_(musician),Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Stanley Silverman,https://en.wikipedia.org/wiki/Stanley_Silverman,The Capeman,https://en.wikipedia.org/wiki/The_Capeman
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Doug Besterman&Ralph Burns,https://en.wikipedia.org/wiki/Doug_Besterman,Fosse,https://en.wikipedia.org/wiki/Fosse_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,David Cullen,,Swan Lake,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Don Sebesky,https://en.wikipedia.org/wiki/Don_Sebesky,Parade,https://en.wikipedia.org/wiki/Parade_(musical)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Harold Wheeler,https://en.wikipedia.org/wiki/Harold_Wheeler_(musician),Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Harold Wheeler,https://en.wikipedia.org/wiki/Harold_Wheeler_(musician),Swing!,https://en.wikipedia.org/wiki/Swing!
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,Marie Christine,https://en.wikipedia.org/wiki/Marie_Christine
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Don Sebesky,https://en.wikipedia.org/wiki/Don_Sebesky,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Doug Besterman,https://en.wikipedia.org/wiki/Doug_Besterman,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Doug Besterman,https://en.wikipedia.org/wiki/Doug_Besterman,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical)
