year,season,season_link,winner,production,production_link,author,author_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(play),Thomas Heggen&Joshua Logan,https://en.wikipedia.org/wiki/Thomas_Heggen
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Death of a Salesman†,https://en.wikipedia.org/wiki/Death_of_a_Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,The Cocktail Party,https://en.wikipedia.org/wiki/The_Cocktail_Party,T. S. Eliot,https://en.wikipedia.org/wiki/T._S._Eliot
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,The Fourposter,https://en.wikipedia.org/wiki/The_Fourposter,Jan de Hartog,https://en.wikipedia.org/wiki/Jan_de_Hartog
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,The Teahouse of the August Moon†,https://en.wikipedia.org/wiki/The_Teahouse_of_the_August_Moon_(play),John Patrick,https://en.wikipedia.org/wiki/John_Patrick_(dramatist)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,The Desperate Hours,https://en.wikipedia.org/wiki/The_Desperate_Hours_(play),Joseph Hayes,https://en.wikipedia.org/wiki/Joseph_Hayes_(author)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,The Diary of Anne Frank†,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),Frances Goodrich&Albert Hackett,https://en.wikipedia.org/wiki/Frances_Goodrich
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Bus Stop,https://en.wikipedia.org/wiki/Bus_Stop_(play),William Inge,https://en.wikipedia.org/wiki/William_Inge
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Cat on a Hot Tin Roof†,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Tiger at the Gates,https://en.wikipedia.org/wiki/Tiger_at_the_Gates,Jean Giraudoux,https://en.wikipedia.org/wiki/Jean_Giraudoux
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,The Chalk Garden,https://en.wikipedia.org/wiki/The_Chalk_Garden,Enid Bagnold,https://en.wikipedia.org/wiki/Enid_Bagnold
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,The Waltz of the Toreadors,https://en.wikipedia.org/wiki/The_Waltz_of_the_Toreadors,Jean Anouilh,https://en.wikipedia.org/wiki/Jean_Anouilh
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,The Potting Shed,https://en.wikipedia.org/wiki/The_Potting_Shed,Graham Greene,https://en.wikipedia.org/wiki/Graham_Greene
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Long Day's Journey into Night†,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables,Terence Rattigan,https://en.wikipedia.org/wiki/Terence_Rattigan
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Time Remembered,,Jean Anouilh,https://en.wikipedia.org/wiki/Jean_Anouilh
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Sunrise at Campobello,https://en.wikipedia.org/wiki/Sunrise_at_Campobello_(play),Dore Schary,https://en.wikipedia.org/wiki/Dore_Schary
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Look Back in Anger,https://en.wikipedia.org/wiki/Look_Back_in_Anger,John Osborne,https://en.wikipedia.org/wiki/John_Osborne
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,"Look Homeward, Angel†","https://en.wikipedia.org/wiki/Look_Homeward,_Angel_(play)",Ketti Frings,https://en.wikipedia.org/wiki/Ketti_Frings
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Romanoff and Juliet,https://en.wikipedia.org/wiki/Romanoff_and_Juliet_(play),Peter Ustinov,https://en.wikipedia.org/wiki/Peter_Ustinov
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,The Dark at the Top of the Stairs,https://en.wikipedia.org/wiki/The_Dark_at_the_Top_of_the_Stairs,William Inge,https://en.wikipedia.org/wiki/William_Inge
