year,season,season_link,winner,production,production_link,book,book_link,music,music_link,lyrics,lyrics_link
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess,Ira GershwinandDuBose Heyward,https://en.wikipedia.org/wiki/Ira_Gershwin,George Gershwin,https://en.wikipedia.org/wiki/George_Gershwin,Ira Gershwin,https://en.wikipedia.org/wiki/Ira_Gershwin
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls,Abe BurrowsandJo Swerling,https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,The Cherry Orchard,https://en.wikipedia.org/wiki/The_Cherry_Orchard,Anton Chekhov,https://en.wikipedia.org/wiki/Anton_Chekhov,,,,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Bertolt BrechtandElisabeth Hauptmann,https://en.wikipedia.org/wiki/Bertolt_Brecht,Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,Bertolt BrechtandElisabeth Hauptmann,https://en.wikipedia.org/wiki/Bertolt_Brecht
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Dracula,https://en.wikipedia.org/wiki/Dracula_(1924_play),John L. BalderstonandHamilton Deane,https://en.wikipedia.org/wiki/John_L._Balderston,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe,Molière,https://en.wikipedia.org/wiki/Moli%C3%A8re,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Timbuktu!,https://en.wikipedia.org/wiki/Timbuktu!,Luther Davis,https://en.wikipedia.org/wiki/Luther_Davis,George ForrestandRobert Wright,https://en.wikipedia.org/wiki/George_Forrest_(author),George ForrestandRobert Wright,https://en.wikipedia.org/wiki/George_Forrest_(author)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,A Touch of the Poet,https://en.wikipedia.org/wiki/A_Touch_of_the_Poet,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,Paul Osborn,https://en.wikipedia.org/wiki/Paul_Osborn,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Major Barbara,https://en.wikipedia.org/wiki/Major_Barbara,George Bernard Shaw,https://en.wikipedia.org/wiki/George_Bernard_Shaw,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),J. M. Barrie,https://en.wikipedia.org/wiki/J._M._Barrie,Mark CharlapandJule Styne,https://en.wikipedia.org/wiki/Mark_Charlap,"Betty Comden,Adolph GreenandCarolyn Leigh",https://en.wikipedia.org/wiki/Betty_Comden
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story,Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
