year,season,season_link,winner,play,play_link,author,author_link
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls,J. B. Priestley,https://en.wikipedia.org/wiki/J._B._Priestley
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Abe Lincoln in Illinois,https://en.wikipedia.org/wiki/Abe_Lincoln_in_Illinois_(play),Robert E. Sherwood,https://en.wikipedia.org/wiki/Robert_E._Sherwood
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Medea,https://en.wikipedia.org/wiki/Medea_(play),Euripides,https://en.wikipedia.org/wiki/Euripides
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Timon of Athens,https://en.wikipedia.org/wiki/Timon_of_Athens,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),Augustus Goetz andRuth Goetz,https://en.wikipedia.org/wiki/Ruth_Goetz
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Hamlet,https://en.wikipedia.org/wiki/Hamlet,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,The Molière Comedies,https://en.wikipedia.org/wiki/Moli%C3%A8re,Molière,https://en.wikipedia.org/wiki/Moli%C3%A8re
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play),Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,A Midsummer Night's Dream,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play),Jerome LawrenceandRobert E. Lee,https://en.wikipedia.org/wiki/Jerome_Lawrence
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,The Gin Game,https://en.wikipedia.org/wiki/The_Gin_Game,Donald L. Coburn,https://en.wikipedia.org/wiki/Donald_L._Coburn
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Present Laughter,https://en.wikipedia.org/wiki/Present_Laughter,Noël Coward,https://en.wikipedia.org/wiki/No%C3%ABl_Coward
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House,Henrik Ibsen,https://en.wikipedia.org/wiki/Henrik_Ibsen
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,London Assurance,https://en.wikipedia.org/wiki/London_Assurance,Dion Boucicault,https://en.wikipedia.org/wiki/Dion_Boucicault
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,"Ah, Wilderness!","https://en.wikipedia.org/wiki/Ah,_Wilderness!",Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,The Chairs,https://en.wikipedia.org/wiki/The_Chairs,Eugène Ionesco,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),Frances GoodrichandAlbert Hackett,https://en.wikipedia.org/wiki/Frances_Goodrich
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Electra,https://en.wikipedia.org/wiki/Electra_(Sophocles_play),Sophocles,https://en.wikipedia.org/wiki/Sophocles
