year,season,season_link,winner,designer,production,production_link,designer_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,David Folkes,Henry VIII,https://en.wikipedia.org/wiki/Henry_VIII_(play),
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Horace Armistead,The Medium,https://en.wikipedia.org/wiki/The_Medium,
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Jo Mielziner,"Anne of the Thousand Days,Death of a Salesman,Sleepy Hollow,South PacificandSummer and Smoke",https://en.wikipedia.org/wiki/Anne_of_the_Thousand_Days,https://en.wikipedia.org/wiki/Jo_Mielziner
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Jo Mielziner,The Innocents,https://en.wikipedia.org/wiki/The_Innocents_(play),https://en.wikipedia.org/wiki/Jo_Mielziner
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Boris Aronson,"The Country Girl,The Rose TattooandSeason in the Sun",https://en.wikipedia.org/wiki/The_Country_Girl_(1950_play),https://en.wikipedia.org/wiki/Boris_Aronson
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Jo Mielziner,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Jo_Mielziner
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Raoul Penè Du Bois,Wonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town,https://en.wikipedia.org/wiki/Raoul_Pen%C3%A8_Du_Bois
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Peter Larkin,OndineandThe Teahouse of the August Moon,https://en.wikipedia.org/wiki/Ondine_(play),
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Oliver Messel,House of Flowers,https://en.wikipedia.org/wiki/House_of_Flowers_(musical),https://en.wikipedia.org/wiki/Oliver_Messel
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Raymond Sovey,The Great Sebastians,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Jo Mielziner,"Cat on a Hot Tin Roof,The Lark,Middle of the NightandPipe Dream",https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,https://en.wikipedia.org/wiki/Jo_Mielziner
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Boris Aronson,"The Diary of Anne Frank,Bus Stop,Once Upon a TailorandA View from the Bridge",https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),https://en.wikipedia.org/wiki/Boris_Aronson
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Peter Larkin,Inherit the WindandNo Time for Sergeants,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play),
