year,season,season_link,winner,designer,designer_link,production,production_link
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Howard Bay,https://en.wikipedia.org/wiki/Howard_Bay_(designer),Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Will Steven Armstrong,,Caligula,https://en.wikipedia.org/wiki/Caligula_(play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,David Hays,,The Tenth Man,https://en.wikipedia.org/wiki/The_Tenth_Man_(Chayefsky_play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,George C. Jenkins,https://en.wikipedia.org/wiki/George_C._Jenkins,The Miracle Worker,https://en.wikipedia.org/wiki/The_Miracle_Worker_(play)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Jo Mielziner,https://en.wikipedia.org/wiki/Jo_Mielziner,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Jo Mielziner,https://en.wikipedia.org/wiki/Jo_Mielziner,The Devil's Advocate,https://en.wikipedia.org/wiki/The_Devil%27s_Advocate_(Morris_West_novel)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,David Hays,,All the Way Home,https://en.wikipedia.org/wiki/All_the_Way_Home_(play)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Rouben Ter-Arutunian,https://en.wikipedia.org/wiki/Rouben_Ter-Arutunian,Advise and Consent,https://en.wikipedia.org/wiki/Advise_and_Consent
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Oliver Smith,https://en.wikipedia.org/wiki/Oliver_Smith_(designer),Becket,https://en.wikipedia.org/wiki/Becket
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Roger Furse,https://en.wikipedia.org/wiki/Roger_Furse,Duel of Angels,https://en.wikipedia.org/wiki/Duel_of_Angels
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Scott Pask,https://en.wikipedia.org/wiki/Scott_Pask,The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,John Lee Beatty,https://en.wikipedia.org/wiki/John_Lee_Beatty,Doubt,https://en.wikipedia.org/wiki/Doubt_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,David Gallo,https://en.wikipedia.org/wiki/David_Gallo,Gem of the Ocean,https://en.wikipedia.org/wiki/Gem_of_the_Ocean
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Glengarry Glen Ross,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,The History Boys,https://en.wikipedia.org/wiki/The_History_Boys
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,John Lee Beatty,https://en.wikipedia.org/wiki/John_Lee_Beatty,Rabbit Hole,https://en.wikipedia.org/wiki/Rabbit_Hole
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Three Days of Rain,https://en.wikipedia.org/wiki/Three_Days_of_Rain
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Ti GreenandMelly Still,https://en.wikipedia.org/wiki/Ti_Green,Coram Boy,https://en.wikipedia.org/wiki/Coram_Boy_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,David Gallo,https://en.wikipedia.org/wiki/David_Gallo,Radio Golf,https://en.wikipedia.org/wiki/Radio_Golf
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jonathan Fensom,,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Bob CrowleyandScott Pask,https://en.wikipedia.org/wiki/Bob_Crowley,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Todd Rosenthal,https://en.wikipedia.org/wiki/Todd_Rosenthal,August: Osage County,https://en.wikipedia.org/wiki/August:_Osage_County
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Peter McKintosh,https://en.wikipedia.org/wiki/Peter_McKintosh,The 39 Steps,https://en.wikipedia.org/wiki/The_39_Steps_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Scott Pask,https://en.wikipedia.org/wiki/Scott_Pask,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Anthony Ward,https://en.wikipedia.org/wiki/Anthony_Ward,Macbeth,https://en.wikipedia.org/wiki/Macbeth
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Derek McLane,https://en.wikipedia.org/wiki/Derek_McLane,33 Variations,https://en.wikipedia.org/wiki/33_Variations
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Dale Ferguson,https://en.wikipedia.org/wiki/Dale_Ferguson_(designer),Exit the King,https://en.wikipedia.org/wiki/Exit_the_King
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,The Norman Conquests,https://en.wikipedia.org/wiki/The_Norman_Conquests
