year,season,season_link,winner,musical,musical_link,music,music_link,lyrics,lyrics_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Street Scene,https://en.wikipedia.org/wiki/Street_Scene_(opera),Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,Langston Hughes,https://en.wikipedia.org/wiki/Langston_Hughes
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter,Cole Porter,https://en.wikipedia.org/wiki/Cole_Porter
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Call Me Madam,https://en.wikipedia.org/wiki/Call_Me_Madam,Irving Berlin,https://en.wikipedia.org/wiki/Irving_Berlin,Irving Berlin,https://en.wikipedia.org/wiki/Irving_Berlin
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,No Strings,https://en.wikipedia.org/wiki/No_Strings,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical),Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Kwamina,https://en.wikipedia.org/wiki/Kwamina_(musical),Richard Adler,https://en.wikipedia.org/wiki/Richard_Adler,Richard Adler,https://en.wikipedia.org/wiki/Richard_Adler
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Milk and Honey,https://en.wikipedia.org/wiki/Milk_and_Honey_(musical),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Oliver!,https://en.wikipedia.org/wiki/Oliver!,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Bravo Giovanni,https://en.wikipedia.org/wiki/Bravo_Giovanni,Milton Schafer,https://en.wikipedia.org/wiki/Milton_Schafer,Ronny Graham,https://en.wikipedia.org/wiki/Ronny_Graham
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical),Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Carolyn Leigh,https://en.wikipedia.org/wiki/Carolyn_Leigh
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Stop the World – I Want to Get Off,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off,Anthony Newley,https://en.wikipedia.org/wiki/Anthony_Newley,Leslie Bricusse,https://en.wikipedia.org/wiki/Leslie_Bricusse
