year,season,season_link,winner,designer,production,production_link,award type,designer_link
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Mic Pool,The 39 Steps,https://en.wikipedia.org/wiki/The_39_Steps_(play),Best Sound Design of a Play,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Dan Moses Schreier,Gypsy,https://en.wikipedia.org/wiki/Gypsy:_A_Musical_Fable,Best Sound Design of a Musical,https://en.wikipedia.org/wiki/Dan_Moses_Schreier
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Scott Lehrer,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Best Sound Design of a Musical,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Sebastian Frost,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,Best Sound Design of a Musical,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Acme Sound Partners,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights,Best Sound Design of a Musical,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Adam Cork,Macbeth,https://en.wikipedia.org/wiki/Macbeth,Best Sound Design of a Play,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Ian Dickinson,Rock 'n' Roll,https://en.wikipedia.org/wiki/Rock_%27n%27_Roll_(play),Best Sound Design of a Play,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Simon Baker,Boeing-Boeing,https://en.wikipedia.org/wiki/Boeing-Boeing_(play),Best Sound Design of a Play,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Paul Arditti,Mary Stuart,https://en.wikipedia.org/wiki/Mary_Stuart_(play),Best Sound Design of a Play,https://en.wikipedia.org/wiki/Paul_Arditti
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Brian Ronan,Next to Normal,https://en.wikipedia.org/wiki/Next_to_Normal,Best Sound Design of a Musical,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Gregory Clarke,Equus,https://en.wikipedia.org/wiki/Equus_(play),Best Sound Design of a Play,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Peter Hylenski,Rock of Ages,https://en.wikipedia.org/wiki/Rock_of_Ages_(musical),Best Sound Design of a Musical,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Paul Arditti,Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical,Best Sound Design of a Musical,https://en.wikipedia.org/wiki/Paul_Arditti
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Acme Sound Partners,Hair,https://en.wikipedia.org/wiki/Hair_(musical),Best Sound Design of a Musical,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Scott Lehrer and Leon Rothenberg,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone,Best Sound Design of a Play,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Russell Goldsmith,Exit the King,https://en.wikipedia.org/wiki/Exit_the_King,Best Sound Design of a Play,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Dan Moses Schreier,Sondheim on Sondheim,https://en.wikipedia.org/wiki/Sondheim_on_Sondheim,Best Sound Design of a Musical,https://en.wikipedia.org/wiki/Dan_Moses_Schreier
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Robert Kaplowitz,Fela!,https://en.wikipedia.org/wiki/Fela!,Best Sound Design of a Musical,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Christopher Shutt,War Horse,https://en.wikipedia.org/wiki/War_Horse_(play),Best Sound Design of a Play,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Acme Sound Partners,Fences,https://en.wikipedia.org/wiki/Fences_(play),Best Sound Design of a Play,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Jonathan Deans,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Best Sound Design of a Musical,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Dan Moses SchreierandGareth Owen,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,Best Sound Design of a Musical,https://en.wikipedia.org/wiki/Dan_Moses_Schreier
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Scott Lehrer,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge,Best Sound Design of a Play,
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Adam Cork,Enron,https://en.wikipedia.org/wiki/ENRON_(play),Best Sound Design of a Play,
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Acme Sound Partners and Cricket S. Myers,Bengal Tiger at the Baghdad Zoo,https://en.wikipedia.org/wiki/Bengal_Tiger_at_the_Baghdad_Zoo,Best Sound Design of a Play,
