year,season,season_link,winner,production,production_link
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Fool Moon,https://en.wikipedia.org/wiki/Bill_Irwin
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Dame Edna: The Royal Tour,https://en.wikipedia.org/wiki/Dame_Edna_Everage
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Blast!,https://en.wikipedia.org/wiki/Blast!_(musical)
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Elaine Stritch at Liberty,https://en.wikipedia.org/wiki/Elaine_Stritch_at_Liberty
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,"Bea Arthur on Broadway, Just Between Friends",https://en.wikipedia.org/wiki/Bea_Arthur
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Barbara Cook in Mostly Sondheim,https://en.wikipedia.org/wiki/Barbara_Cook
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Sexaholix... A Love Story,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,The Play What I Wrote,https://en.wikipedia.org/wiki/The_Play_What_I_Wrote
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Prune Danish,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Def Poetry Jam,https://en.wikipedia.org/wiki/Def_Poetry_Jam
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Bill Maher: Victory Begins at Home,https://en.wikipedia.org/wiki/Bill_Maher
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Billy Crystal 700 Sundays,https://en.wikipedia.org/wiki/700_Sundays
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Dame Edna: Back with a Vengeance!,https://en.wikipedia.org/wiki/Dame_Edna_Everage
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Laugh Whore,https://en.wikipedia.org/wiki/Mario_Cantone
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Whoopi the 20th Anniversary Show,https://en.wikipedia.org/wiki/Whoopi_Goldberg
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Jay Johnson: The Two and Only,https://en.wikipedia.org/wiki/Jay_Johnson:_The_Two_and_Only
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Kiki and Herb: Alive on Broadway,https://en.wikipedia.org/wiki/Kiki_and_Herb
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Soul of Shaolin,https://en.wikipedia.org/wiki/Soul_of_Shaolin
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Liza's at The Palace...!,https://en.wikipedia.org/wiki/Liza%27s_at_The_Palace...!
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Slava's Snowshow,https://en.wikipedia.org/wiki/Slava%27s_Snowshow
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,You're Welcome America,https://en.wikipedia.org/wiki/You%27re_Welcome_America
