year,season,season_link,winner,technician,production,technician_link,production_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,George Gebhardt,,,
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Joe Lynn,Miss Liberty,https://en.wikipedia.org/wiki/Joe_Lynn_(property_master),https://en.wikipedia.org/wiki/Miss_Liberty
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Richard Raven,The Autumn Garden,,https://en.wikipedia.org/wiki/The_Autumn_Garden
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Peter Feller,Call Me Madam,https://en.wikipedia.org/wiki/Peter_Feller,https://en.wikipedia.org/wiki/Call_Me_Madam
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Abe Kurnit,Wish You Were Here,,https://en.wikipedia.org/wiki/Wish_You_Were_Here_(musical)
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,John Davis,Picnic,,https://en.wikipedia.org/wiki/Picnic_(play)
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Richard Rodda,Peter Pan,,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical)
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Harry Green,Damn Yankees,,https://en.wikipedia.org/wiki/Damn_Yankees
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Harry Green,Middle of the Night,,https://en.wikipedia.org/wiki/Middle_of_the_Night
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Howard McDonald(posthumous),Major Barbara,,https://en.wikipedia.org/wiki/Major_Barbara_(play)
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Harry Romar,Time Remembered,,https://en.wikipedia.org/wiki/Time_Remembered
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Sam Knapp,The Music Man,,https://en.wikipedia.org/wiki/The_Music_Man
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,John Walters,The Miracle Worker,,https://en.wikipedia.org/wiki/The_Miracle_Worker_(play)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Teddy Van Bemmel,Becket,,https://en.wikipedia.org/wiki/Becket
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Solly Pernick,Mr. President,,https://en.wikipedia.org/wiki/Mr._President_(musical)
