year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1947,1947,/wiki/1st_Tony_Awards,False,Jose Ferrer,https://en.wikipedia.org/wiki/Jose_Ferrer,Cyrano De Bergerac,https://en.wikipedia.org/wiki/Cyrano_De_Bergerac,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(play)
1947,1947,/wiki/1st_Tony_Awards,True,Fredrick March,https://en.wikipedia.org/wiki/Fredrick_March,Clinton Jones,,Years Ago,
1948,1948,/wiki/2nd_Tony_Awards,False,Henry Fonda,https://en.wikipedia.org/wiki/Henry_Fonda,Lt. Roberts,,Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(play)
1948,1948,/wiki/2nd_Tony_Awards,True,Paul Kelly,https://en.wikipedia.org/wiki/Paul_Kelly_(actor),Brigadier General K.C. Dennis,,Command Decision,https://en.wikipedia.org/wiki/Command_Decision_(play)
1948,1948,/wiki/2nd_Tony_Awards,True,Basil Rathbone,https://en.wikipedia.org/wiki/Basil_Rathbone,Dr. Austin Sloper,,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
1949,1949,/wiki/3rd_Tony_Awards,True,Rex Harrison,https://en.wikipedia.org/wiki/Rex_Harrison,Henry VIII,https://en.wikipedia.org/wiki/Henry_VIII_of_England,Anne of the Thousand Days,
1950,1950,/wiki/4th_Tony_Awards,True,Sidney Blackmer,https://en.wikipedia.org/wiki/Sidney_Blackmer,Doc,,"Come Back, Little Sheba","https://en.wikipedia.org/wiki/Come_Back,_Little_Sheba_(play)"
1951,1951,/wiki/5th_Tony_Awards,True,Claude Rains,https://en.wikipedia.org/wiki/Claude_Rains,Rubashov,,Darkness at Noon,https://en.wikipedia.org/wiki/Darkness_at_Noon
1952,1952,/wiki/6th_Tony_Awards,True,José Ferrer,https://en.wikipedia.org/wiki/Jos%C3%A9_Ferrer,Jim Downs,,The Shrike,https://en.wikipedia.org/wiki/The_Shrike_(play)
1953,1953,/wiki/7th_Tony_Awards,True,Tom Ewell,https://en.wikipedia.org/wiki/Tom_Ewell,Richard Sherman,,The Seven Year Itch,https://en.wikipedia.org/wiki/The_Seven_Year_Itch_(play)
1954,1954,/wiki/8th_Tony_Awards,True,David Wayne,https://en.wikipedia.org/wiki/David_Wayne,Sakini,,The Teahouse of the August Moon,https://en.wikipedia.org/wiki/The_Teahouse_of_the_August_Moon_(play)
