year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Grace Hartman,Angel in the Wings,Nettie / Mrs. Blodgett / Ruth / Mrs. Hutchinson,https://en.wikipedia.org/wiki/Grace_Hartman_(actress),https://en.wikipedia.org/wiki/Angel_in_the_Wings,
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Nanette Fabray,Love Life,Susan Cooper,https://en.wikipedia.org/wiki/Nanette_Fabray,https://en.wikipedia.org/wiki/Love_Life_(musical),
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Mary Martin,South Pacific,Ensign Nellie Forbush,https://en.wikipedia.org/wiki/Mary_Martin,https://en.wikipedia.org/wiki/South_Pacific_(musical),
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Ethel Merman,Call Me Madam,Sally Adams,https://en.wikipedia.org/wiki/Ethel_Merman,https://en.wikipedia.org/wiki/Call_Me_Madam,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Gertrude Lawrence,The King and I,Anna Leonowens,https://en.wikipedia.org/wiki/Gertrude_Lawrence,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Anna_Leonowens
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Rosalind Russell,Wonderful Town,Ruth Sherwood,https://en.wikipedia.org/wiki/Rosalind_Russell,https://en.wikipedia.org/wiki/Wonderful_Town,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Dolores Gray,Carnival in Flanders,Cornelia,https://en.wikipedia.org/wiki/Dolores_Gray,https://en.wikipedia.org/wiki/Carnival_in_Flanders_(musical),
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Mary Martin,Peter Pan,Peter Pan,https://en.wikipedia.org/wiki/Mary_Martin,https://en.wikipedia.org/wiki/Peter_Pan_(1954_musical),https://en.wikipedia.org/wiki/Peter_Pan
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Gwen Verdon,Damn Yankees,Lola,https://en.wikipedia.org/wiki/Gwen_Verdon,https://en.wikipedia.org/wiki/Damn_Yankees,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Carol Channing,The Vamp,Flora Weems,https://en.wikipedia.org/wiki/Carol_Channing,https://en.wikipedia.org/wiki/The_Vamp,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Nancy Walker,Phoenix '55,Various Characters,https://en.wikipedia.org/wiki/Nancy_Walker,,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Judy Holliday,Bells Are Ringing,Ella Peterson,https://en.wikipedia.org/wiki/Judy_Holliday,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical),
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Julie Andrews,My Fair Lady,Eliza Doolittle,https://en.wikipedia.org/wiki/Julie_Andrews,https://en.wikipedia.org/wiki/My_Fair_Lady,https://en.wikipedia.org/wiki/Eliza_Doolittle
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Ethel Merman,Happy Hunting,Liz Livingstone,https://en.wikipedia.org/wiki/Ethel_Merman,https://en.wikipedia.org/wiki/Happy_Hunting,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Beatrice Lillie,Ziegfeld Follies of 1957,Various Characters,https://en.wikipedia.org/wiki/Beatrice_Lillie,https://en.wikipedia.org/wiki/Ziegfeld_Follies,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Lena Horne,Jamaica,Savannah,https://en.wikipedia.org/wiki/Lena_Horne,https://en.wikipedia.org/wiki/Jamaica_(musical),
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Thelma Ritter,New Girl in Town,Marthy Owen,https://en.wikipedia.org/wiki/Thelma_Ritter,https://en.wikipedia.org/wiki/New_Girl_in_Town,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,True,Gwen Verdon,New Girl in Town,Anna Christopherson,https://en.wikipedia.org/wiki/Gwen_Verdon,https://en.wikipedia.org/wiki/New_Girl_in_Town,
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,Gwen Verdon,Redhead,Essie Whimple,https://en.wikipedia.org/wiki/Gwen_Verdon,https://en.wikipedia.org/wiki/Redhead_(musical),
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Miyoshi Umeki,Flower Drum Song,Mei-Li,https://en.wikipedia.org/wiki/Miyoshi_Umeki,https://en.wikipedia.org/wiki/Flower_Drum_Song,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Mary Martin,The Sound of Music,Maria von Trapp,https://en.wikipedia.org/wiki/Mary_Martin,https://en.wikipedia.org/wiki/The_Sound_of_Music,https://en.wikipedia.org/wiki/Maria_von_Trapp
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Carol Burnett,Once Upon a Mattress,Princess Winnifred,https://en.wikipedia.org/wiki/Carol_Burnett,https://en.wikipedia.org/wiki/Once_Upon_a_Mattress,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Dolores Gray,Destry Rides Again,Frenchy,https://en.wikipedia.org/wiki/Dolores_Gray,https://en.wikipedia.org/wiki/Destry_Rides_Again_(musical),
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Eileen Herlie,Take Me Along,Lily Miller,https://en.wikipedia.org/wiki/Eileen_Herlie,https://en.wikipedia.org/wiki/Take_Me_Along,
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Ethel Merman,Gypsy,Rose,https://en.wikipedia.org/wiki/Ethel_Merman,https://en.wikipedia.org/wiki/Gypsy_(musical),https://en.wikipedia.org/wiki/Rose_Thompson_Hovick
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Nancy Walker,Do Re Mi,Kay Cram,https://en.wikipedia.org/wiki/Nancy_Walker,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical),
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Elizabeth Seal,Irma La Douce,Irma La Douce,https://en.wikipedia.org/wiki/Elizabeth_Seal,https://en.wikipedia.org/wiki/Irma_La_Douce_(musical),
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Julie Andrews,Camelot,Guenevere,https://en.wikipedia.org/wiki/Julie_Andrews,https://en.wikipedia.org/wiki/Camelot_(musical),https://en.wikipedia.org/wiki/Guinevere
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Carol Channing,Show Girl,Various Characters,https://en.wikipedia.org/wiki/Carol_Channing,,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Molly Picon,Milk and Honey,Clara Weiss,https://en.wikipedia.org/wiki/Molly_Picon,https://en.wikipedia.org/wiki/Milk_and_Honey_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Elaine Stritch,Sail Away,Mimi Paragon,https://en.wikipedia.org/wiki/Elaine_Stritch,https://en.wikipedia.org/wiki/Sail_Away_(musical),
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Anna Maria Alberghetti,Carnival!,Lili Daurier,https://en.wikipedia.org/wiki/Anna_Maria_Alberghetti,https://en.wikipedia.org/wiki/Carnival!,
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Diahann Carroll,No Strings,Barbara Woodruff,https://en.wikipedia.org/wiki/Diahann_Carroll,https://en.wikipedia.org/wiki/No_Strings,
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Vivien Leigh,Tovarich,Tatiana,https://en.wikipedia.org/wiki/Vivien_Leigh,https://en.wikipedia.org/wiki/Tovarich_(musical),
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Georgia Brown,Oliver!,Nancy,https://en.wikipedia.org/wiki/Georgia_Brown_(English_singer),https://en.wikipedia.org/wiki/Oliver!,https://en.wikipedia.org/wiki/Nancy_(Oliver_Twist)
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Nanette Fabray,Mr. President,Nell Henderson,https://en.wikipedia.org/wiki/Nanette_Fabray,https://en.wikipedia.org/wiki/Mr._President_(musical),
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Sally Ann Howes,Brigadoon,Fiona MacLaren,https://en.wikipedia.org/wiki/Sally_Ann_Howes,https://en.wikipedia.org/wiki/Brigadoon,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Carol Channing,"Hello, Dolly!",Dolly Gallagher Levi,https://en.wikipedia.org/wiki/Carol_Channing,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Beatrice Lillie,High Spirits,Madame Arcati,https://en.wikipedia.org/wiki/Beatrice_Lillie,https://en.wikipedia.org/wiki/High_Spirits_(musical),
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Barbra Streisand,Funny Girl,Fanny Brice,https://en.wikipedia.org/wiki/Barbra_Streisand,https://en.wikipedia.org/wiki/Funny_Girl_(musical),https://en.wikipedia.org/wiki/Fanny_Brice
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Inga Swenson,110 in the Shade,Lizzie Curry,https://en.wikipedia.org/wiki/Inga_Swenson,https://en.wikipedia.org/wiki/110_in_the_Shade,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Liza Minnelli,Flora the Red Menace,Flora Mezaros,https://en.wikipedia.org/wiki/Liza_Minnelli,https://en.wikipedia.org/wiki/Flora_the_Red_Menace,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Elizabeth Allen,Do I Hear a Waltz?,Leona Samish,https://en.wikipedia.org/wiki/Elizabeth_Allen_(actress),https://en.wikipedia.org/wiki/Do_I_Hear_a_Waltz%3F,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Nancy Dussault,Bajour,Emily Kirsten,https://en.wikipedia.org/wiki/Nancy_Dussault,https://en.wikipedia.org/wiki/Bajour_(musical),
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Inga Swenson,Baker Street,Irene Adler,https://en.wikipedia.org/wiki/Inga_Swenson,https://en.wikipedia.org/wiki/Baker_Street_(musical),
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Gwen Verdon,Sweet Charity,Charity Hope Valentine,https://en.wikipedia.org/wiki/Gwen_Verdon,https://en.wikipedia.org/wiki/Sweet_Charity,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Julie Harris,Skyscraper,Georgina Allerton,https://en.wikipedia.org/wiki/Julie_Harris_(American_actress),https://en.wikipedia.org/wiki/Skyscraper_(musical),
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Angela Lansbury,Mame,Mame Dennis,https://en.wikipedia.org/wiki/Angela_Lansbury,https://en.wikipedia.org/wiki/Mame_(musical),
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Barbara Harris,On a Clear Day You Can See Forever,Daisy Gamble / Melinda Wells,https://en.wikipedia.org/wiki/Barbara_Harris_(actress),https://en.wikipedia.org/wiki/On_a_Clear_Day_You_Can_See_Forever,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Barbara Harris,The Apple Tree,Eve / Princess Barbara / Ella and Passionella,https://en.wikipedia.org/wiki/Barbara_Harris_(actress),https://en.wikipedia.org/wiki/The_Apple_Tree,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Lotte Lenya,Cabaret,Fraulein Schneider,https://en.wikipedia.org/wiki/Lotte_Lenya,https://en.wikipedia.org/wiki/Cabaret_(musical),
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Mary Martin,I Do! I Do!,She (Agnes),https://en.wikipedia.org/wiki/Mary_Martin,https://en.wikipedia.org/wiki/I_Do!_I_Do!,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Louise Troy,Walking Happy,Maggie Hobson,https://en.wikipedia.org/wiki/Louise_Troy,https://en.wikipedia.org/wiki/Walking_Happy,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Brenda Vaccaro,"How Now, Dow Jones",Cynthia Pike,https://en.wikipedia.org/wiki/Brenda_Vaccaro,"https://en.wikipedia.org/wiki/How_Now,_Dow_Jones",
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Melina Mercouri,Illya Darling,Illya,https://en.wikipedia.org/wiki/Melina_Mercouri,https://en.wikipedia.org/wiki/Illya_Darling,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Patricia Routledge,Darling of the Day,Alice Challice,https://en.wikipedia.org/wiki/Patricia_Routledge,https://en.wikipedia.org/wiki/Darling_of_the_Day,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Leslie Uggams,"Hallelujah, Baby!",Georgina,https://en.wikipedia.org/wiki/Leslie_Uggams,"https://en.wikipedia.org/wiki/Hallelujah,_Baby!",
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Angela Lansbury,Dear World,Countess Aurelia,https://en.wikipedia.org/wiki/Angela_Lansbury,https://en.wikipedia.org/wiki/Dear_World,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Maria Karnilova,Zorba,Madame Hortense,https://en.wikipedia.org/wiki/Maria_Karnilova,https://en.wikipedia.org/wiki/Zorba_(musical),
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Dorothy Loudon,The Fig Leaves Are Falling,Lillian Stone,https://en.wikipedia.org/wiki/Dorothy_Loudon,https://en.wikipedia.org/wiki/The_Fig_Leaves_Are_Falling,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Jill O'Hara,"Promises, Promises",Fran Kubelik,https://en.wikipedia.org/wiki/Jill_O%27Hara,"https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Dilys Watling,Georgy,"Georgina ""Georgy"" Parkin",https://en.wikipedia.org/wiki/Dilys_Watling,https://en.wikipedia.org/wiki/Georgy_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Lauren Bacall,Applause,Margo Channing,https://en.wikipedia.org/wiki/Lauren_Bacall,https://en.wikipedia.org/wiki/Applause_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Katharine Hepburn,Coco,Coco Chanel,https://en.wikipedia.org/wiki/Katharine_Hepburn,https://en.wikipedia.org/wiki/Coco_(musical),https://en.wikipedia.org/wiki/Coco_Chanel
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Susan Browning,Company,April,https://en.wikipedia.org/wiki/Susan_Browning,https://en.wikipedia.org/wiki/Company_(musical),
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Elaine Stritch,Company,Joanne,https://en.wikipedia.org/wiki/Elaine_Stritch,https://en.wikipedia.org/wiki/Company_(musical),
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Helen Gallagher,"No, No, Nanette",Lucille Early,https://en.wikipedia.org/wiki/Helen_Gallagher,"https://en.wikipedia.org/wiki/No,_No,_Nanette",
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Sandy Duncan,The Boy Friend,Maisie,https://en.wikipedia.org/wiki/Sandy_Duncan,https://en.wikipedia.org/wiki/The_Boy_Friend_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Alexis Smith,Follies,Phyllis Rogers Stone,https://en.wikipedia.org/wiki/Alexis_Smith,https://en.wikipedia.org/wiki/Follies,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Jonelle Allen,Two Gentlemen of Verona,Silvia,https://en.wikipedia.org/wiki/Jonelle_Allen,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Dorothy Collins,Follies,Sally Durant Plummer,https://en.wikipedia.org/wiki/Dorothy_Collins,,
