year,season,season_link,winner,actress,actress_link,play,play_link,character,character_link,actor,actor_link,role,role_link
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Ingrid Bergman,https://en.wikipedia.org/wiki/Ingrid_Bergman,Joan of Lorraine,https://en.wikipedia.org/wiki/Joan_of_Lorraine,Mary Grey /Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,,,,
1947,1st Tony Awards,/wiki/1st_Tony_Awards,True,Helen Hayes,https://en.wikipedia.org/wiki/Helen_Hayes,Happy Birthday,https://en.wikipedia.org/wiki/Happy_Birthday_(play),Addie Bemis,,,,,
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Judith Anderson,https://en.wikipedia.org/wiki/Judith_Anderson,Medea,https://en.wikipedia.org/wiki/Medea_(play),Medea,https://en.wikipedia.org/wiki/Medea,,,,
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Katharine Cornell,https://en.wikipedia.org/wiki/Katharine_Cornell,Antony and Cleopatra,https://en.wikipedia.org/wiki/Antony_and_Cleopatra,Cleopatra,https://en.wikipedia.org/wiki/Cleopatra_VII,,,,
1948,2nd Tony Awards,/wiki/2nd_Tony_Awards,True,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire,Blanche DuBois,https://en.wikipedia.org/wiki/Blanche_DuBois,,,,
1949,3rd Tony Awards,/wiki/3rd_Tony_Awards,True,Martita Hunt,https://en.wikipedia.org/wiki/Martita_Hunt,The Madwoman of Chaillot,https://en.wikipedia.org/wiki/The_Madwoman_of_Chaillot,Countess Aurelia,,,,,
1950,4th Tony Awards,/wiki/4th_Tony_Awards,True,Shirley Booth,https://en.wikipedia.org/wiki/Shirley_Booth,"Come Back, Little Sheba","https://en.wikipedia.org/wiki/Come_Back,_Little_Sheba_(play)",Lola Delaney,,,,,
1951,5th Tony Awards,/wiki/5th_Tony_Awards,True,Uta Hagen,https://en.wikipedia.org/wiki/Uta_Hagen,The Country Girl,https://en.wikipedia.org/wiki/The_Country_Girl_(1950_play),Georgie Elgin,,,,,
1952,6th Tony Awards,/wiki/6th_Tony_Awards,True,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,I Am a Camera,https://en.wikipedia.org/wiki/I_Am_a_Camera,Sally Bowles,https://en.wikipedia.org/wiki/Sally_Bowles,,,,
1953,7th Tony Awards,/wiki/7th_Tony_Awards,True,Shirley Booth,https://en.wikipedia.org/wiki/Shirley_Booth,The Time of the Cuckoo,https://en.wikipedia.org/wiki/The_Time_of_the_Cuckoo,Leona Samish,,,,,
1954,8th Tony Awards,/wiki/8th_Tony_Awards,True,Audrey Hepburn,https://en.wikipedia.org/wiki/Audrey_Hepburn,Ondine,https://en.wikipedia.org/wiki/Ondine_(play),Ondine,,,,,
1955,9th Tony Awards,/wiki/9th_Tony_Awards,True,Nancy Kelly,https://en.wikipedia.org/wiki/Nancy_Kelly,The Bad Seed,https://en.wikipedia.org/wiki/The_Bad_Seed_(play),Christine Penmark,,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Siobhán McKenna,https://en.wikipedia.org/wiki/Siobh%C3%A1n_McKenna,The Chalk Garden,,Miss Madrigal,,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Ruth Gordon,https://en.wikipedia.org/wiki/Ruth_Gordon,The Matchmaker,https://en.wikipedia.org/wiki/The_Matchmaker,Dolly Gallagher Levi,,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Susan Strasberg,https://en.wikipedia.org/wiki/Susan_Strasberg,The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(play),Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Barbara Bel Geddes,https://en.wikipedia.org/wiki/Barbara_Bel_Geddes,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,Maggie Pollitt,,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,True,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,The Lark,https://en.wikipedia.org/wiki/The_Lark_(play),Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,,,,
1956,10th Tony Awards,/wiki/10th_Tony_Awards,False,Gladys Cooper,https://en.wikipedia.org/wiki/Gladys_Cooper,The Chalk Garden,https://en.wikipedia.org/wiki/The_Chalk_Garden,Mrs. St. Maugham,,,,,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,True,Margaret Leighton,https://en.wikipedia.org/wiki/Margaret_Leighton,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables,Ann Shankland / Sibyl Railton-Bell,,,,,
1957,11th Tony Awards,/wiki/11th_Tony_Awards,False,Florence Eldridge,https://en.wikipedia.org/wiki/Florence_Eldridge,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,Mary Tyrone,,,,,
