year,season,season_link,winner,designer,designer_link,production,production_link
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,The Light in the Piazza,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Mark Henderson,https://en.wikipedia.org/wiki/Mark_Henderson_(lighting_designer),Chitty Chitty Bang Bang,https://en.wikipedia.org/wiki/Chitty_Chitty_Bang_Bang_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Kenneth Posner,https://en.wikipedia.org/wiki/Kenneth_Posner,Dirty Rotten Scoundrels,https://en.wikipedia.org/wiki/Dirty_Rotten_Scoundrels_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Hugh Vanstone,https://en.wikipedia.org/wiki/Hugh_Vanstone,Monty Python's Spamalot,https://en.wikipedia.org/wiki/Spamalot
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,Jersey Boys,https://en.wikipedia.org/wiki/Jersey_Boys
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Ken Billingtonand Brian Monahan,https://en.wikipedia.org/wiki/Ken_Billington,The Drowsy Chaperone,https://en.wikipedia.org/wiki/The_Drowsy_Chaperone
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Tarzan,https://en.wikipedia.org/wiki/Tarzan_(musical)
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Peter Kaczorowski,https://en.wikipedia.org/wiki/Peter_Kaczorowski,Grey Gardens,https://en.wikipedia.org/wiki/Grey_Gardens_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Howard Harrison,,Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,In the Heights,https://en.wikipedia.org/wiki/In_the_Heights
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,The Little Mermaid,https://en.wikipedia.org/wiki/The_Little_Mermaid_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(musical)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,Next to Normal,https://en.wikipedia.org/wiki/Next_to_Normal
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Rick Fisher,https://en.wikipedia.org/wiki/Rick_Fisher_(lighting_designer),Billy Elliot the Musical,https://en.wikipedia.org/wiki/Billy_Elliot_the_Musical
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,Hair,https://en.wikipedia.org/wiki/Hair_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,American Idiot,https://en.wikipedia.org/wiki/American_Idiot_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Ragtime,https://en.wikipedia.org/wiki/Ragtime
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Nick Richings,,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Robert Wierzel,https://en.wikipedia.org/wiki/Robert_Wierzel,Fela!,https://en.wikipedia.org/wiki/Fela!
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,The Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,The Scottsboro Boys,https://en.wikipedia.org/wiki/The_Scottsboro_Boys_(musical)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Peter Kaczorowski,https://en.wikipedia.org/wiki/Peter_Kaczorowski,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Once,https://en.wikipedia.org/wiki/Once_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,Follies,https://en.wikipedia.org/wiki/Follies
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Hugh Vanstone,https://en.wikipedia.org/wiki/Hugh_Vanstone,Ghost the Musical,https://en.wikipedia.org/wiki/Ghost_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Kenneth Posner,https://en.wikipedia.org/wiki/Kenneth_Posner,Rodgers and Hammerstein's Cinderella,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Kenneth Posner,https://en.wikipedia.org/wiki/Kenneth_Posner,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Hugh Vanstone,https://en.wikipedia.org/wiki/Hugh_Vanstone,Matilda the Musical,https://en.wikipedia.org/wiki/Matilda_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Kenneth Posner,https://en.wikipedia.org/wiki/Kenneth_Posner,Kinky Boots,https://en.wikipedia.org/wiki/Kinky_Boots_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,Rocky the Musical,https://en.wikipedia.org/wiki/Rocky_the_Musical
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,After Midnight,https://en.wikipedia.org/wiki/After_Midnight_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,The Bridges of Madison County,https://en.wikipedia.org/wiki/The_Bridges_of_Madison_County_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Ben Stanton,,Fun Home,https://en.wikipedia.org/wiki/Fun_Home_(musical)
