year,season,season_link,winner,designer,designer_link,production,production_link
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,The Pillowman,https://en.wikipedia.org/wiki/The_Pillowman
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Pat Collins,https://en.wikipedia.org/wiki/Pat_Collins_(lighting_designer),Doubt: A Parable,https://en.wikipedia.org/wiki/Doubt:_A_Parable
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(play)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,Gem of the Ocean,https://en.wikipedia.org/wiki/Gem_of_the_Ocean
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,Mark Henderson,https://en.wikipedia.org/wiki/Mark_Henderson_(lighting_designer),The History Boys,https://en.wikipedia.org/wiki/The_History_Boys
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Christopher Akerlind,https://en.wikipedia.org/wiki/Christopher_Akerlind,Awake and Sing!,https://en.wikipedia.org/wiki/Awake_and_Sing!
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,Three Days of Rain,https://en.wikipedia.org/wiki/Three_Days_of_Rain
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Mark Henderson,https://en.wikipedia.org/wiki/Mark_Henderson_(lighting_designer),Faith Healer,https://en.wikipedia.org/wiki/Faith_Healer
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Jason Taylor,,Journey's End,https://en.wikipedia.org/wiki/Journey%27s_End
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,"Natasha Katz,Brian MacDevittandKenneth Posner",https://en.wikipedia.org/wiki/Natasha_Katz,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Paule Constable,https://en.wikipedia.org/wiki/Paule_Constable,Coram Boy,https://en.wikipedia.org/wiki/Coram_Boy_(play)
