year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical),Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,George Abbott&Douglass Wallop,https://en.wikipedia.org/wiki/George_Abbott,Richard Adler,https://en.wikipedia.org/wiki/Richard_Adler,Jerry Ross,https://en.wikipedia.org/wiki/Jerry_Ross_(composer)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Grease,https://en.wikipedia.org/wiki/Grease_(musical),Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Show Boat,https://en.wikipedia.org/wiki/Show_Boat,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Jerome Kern,https://en.wikipedia.org/wiki/Jerome_Kern,Hammerstein &P. G. Wodehouse,https://en.wikipedia.org/wiki/P._G._Wodehouse
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying,"Abe Burrows,Willie Gilbert&Jack Weinstock",https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Larry Gelbart&Burt Shevelove,https://en.wikipedia.org/wiki/Larry_Gelbart,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Company,https://en.wikipedia.org/wiki/Company_(musical),George Furth,https://en.wikipedia.org/wiki/George_Furth,Sondheim,,Sondheim,
