year,season,season_link,winner,designer,designer_link,production,production_link
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,Oliver Smith,https://en.wikipedia.org/wiki/Oliver_Smith_(designer),The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Cecil Beaton,https://en.wikipedia.org/wiki/Cecil_Beaton,Saratoga,https://en.wikipedia.org/wiki/Saratoga_(musical)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,William & Jean Eckart,https://en.wikipedia.org/wiki/William_and_Jean_Eckart,Fiorello!,https://en.wikipedia.org/wiki/Fiorello!
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Peter Larkin,,Greenwillow,https://en.wikipedia.org/wiki/Greenwillow
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Jo Mielziner,https://en.wikipedia.org/wiki/Jo_Mielziner,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Oliver Smith,https://en.wikipedia.org/wiki/Oliver_Smith_(designer),Camelot,https://en.wikipedia.org/wiki/Camelot_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,George C. Jenkins,https://en.wikipedia.org/wiki/George_C._Jenkins,13 Daughters,https://en.wikipedia.org/wiki/13_Daughters
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Robert Randolph,,Bye Bye Birdie,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Anthony Ward,https://en.wikipedia.org/wiki/Anthony_Ward,Chitty Chitty Bang Bang,https://en.wikipedia.org/wiki/Chitty_Chitty_Bang_Bang_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Rumi Matsui,https://en.wikipedia.org/wiki/Rumi_Matsui,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,The Light in the Piazza,https://en.wikipedia.org/wiki/The_Light_in_the_Piazza_(musical)
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Tim Hatley,https://en.wikipedia.org/wiki/Tim_Hatley,Monty Python's Spamalot,https://en.wikipedia.org/wiki/Spamalot
